# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            132.39079 / [deg] Right Ascension                         
# DEC_TARG=            12.170098 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-13-id-007334' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 13.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =              10.3481 / [mag] Instrumental Kepler magnitude           
# JMAG    =                6.723 / [mag] 2MASS J magnitude                       
# HMAG    =                 6.52 / [mag] 2MASS H magnitude                       
# KMAG    =                6.467 / [mag] 2MASS K magnitude                       
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.611022517   -14.40596837     -14.40772915     -16.11879134     -16.10249138     -16.51311358     -16.51504326      -16.74128892      -16.74037170     -14.96645856     -14.96054173        583.5442           82.4794
 2457139.631459933   -14.40333932     -14.40435314     -16.12079622     -16.10438728     -16.51423924     -16.51623535      -16.74455574      -16.74455452     -14.97101394     -14.96572590        583.5501           82.4768
 2457139.651894818   -14.40737814     -14.40770721     -16.12135692     -16.10502815     -16.51424978     -16.51716614      -16.74655215      -16.74983788     -14.96985100     -14.97049332        583.5573           82.4757
 2457139.672323064   -14.41449286     -14.41443443     -16.12061795     -16.10407066     -16.51255562     -16.51784515      -16.74558621      -16.75370407     -14.97457811     -14.97481823        583.5620           82.4741
 2457139.692750918   -14.41319816     -14.41765976     -16.12067663     -16.10440826     -16.51077301     -16.51793289      -16.74993470      -16.75781059     -14.97508067     -14.97882938        583.5682           82.4706
 2457139.713188042   -14.41247111     -14.41762829     -16.11979359     -16.10292816     -16.51356052     -16.51864243      -16.75309415      -16.75932312     -14.97361767     -14.98215199        583.5698           82.4664
 2457139.733623339   -14.41255542     -14.41758251     -16.12005918     -16.10374641     -16.51170539     -16.51930046      -16.75209857      -16.76139641     -14.97759341     -14.98532391        583.5694           82.4675
 2457139.754052053   -14.41214814     -14.41752243     -16.11965740     -16.10316086     -16.51363677     -16.51994514      -16.75440670      -16.76331711     -14.97842154     -14.98924828        583.5724           82.4680
 2457139.774479524   -14.41268575     -14.41748619     -16.11993600     -16.10431480     -16.51310789     -16.52052498      -16.75479131      -16.76402473     -14.97918634     -14.99167442        583.5693           82.4679
 2457139.794915574   -14.41198551     -14.41739178     -16.11946852     -16.10338593     -16.51321082     -16.52127457      -16.75449340      -16.76675034     -14.98263977     -14.99551201        583.5728           82.4688
 2457139.815352092   -14.41475571     -14.42060566     -16.11957945     -16.10388756     -16.51145415     -16.52238655      -16.75381281      -16.76933861     -14.98157857     -14.99783897        583.5757           82.4673
 2457139.835781973   -14.41435338     -14.42053699     -16.11961041     -16.10367203     -16.51407895     -16.52361298      -16.75692086      -16.77200317     -14.97792200     -15.00090694        583.5782           82.4662
 2457139.856209013   -14.41042937     -14.41699982     -16.12010601     -16.10393906     -16.51451964     -16.52396393      -16.75798357      -16.77403641     -14.98024568     -15.00308800        583.5801           82.4656
 2457139.876643459   -14.40631779     -14.41340446     -16.11897346     -16.10289574     -16.51230466     -16.52576637      -16.75641688      -16.77700233     -14.98282722     -15.00549126        583.5825           82.4641
 2457139.897080259   -14.41289431     -14.42038631     -16.11959033     -16.10328484     -16.51253064     -16.52745628      -16.75580629      -16.78034973     -14.98307926     -15.00873947        583.5884           82.4632
 2457139.917512512   -14.41653295     -14.42015171     -16.11909909     -16.10253334     -16.51504025     -16.52907181      -16.75885022      -16.78317833     -14.97482297     -15.01079369        583.5956           82.4606
 2457139.937939680   -14.41099556     -14.41657066     -16.11993360     -16.10290718     -16.51353113     -16.52901459      -16.75633365      -16.78492355     -14.98482380     -15.01368618        583.6050           82.4549
 2457139.958371695   -14.40685655     -14.41306877     -16.11965960     -16.10297203     -16.51251521     -16.52923965      -16.75520888      -16.78637314     -14.98250212     -15.01664734        583.6108           82.4555
 2457139.978808955   -14.40678699     -14.41304779     -16.11967077     -16.10315514     -16.51223005     -16.52961540      -16.75455849      -16.78699684     -14.98426662     -15.01762581        583.6100           82.4559
 2457139.999241522   -14.40285405     -14.40964127     -16.11962924     -16.10327530     -16.51319653     -16.53126717      -16.75480715      -16.78852463     -14.98255124     -15.01855087        583.6104           82.4598
 2457140.019669396   -14.41651291     -14.41317940     -16.11915056     -16.10307884     -16.51703170     -16.53195381      -16.76040255      -16.78938293     -14.98068525     -15.02060699        583.6133           82.4596
 2457140.040099204   -14.41293424     -14.40961742     -16.11911147     -16.10345650     -16.51548237     -16.53234291      -16.75896682      -16.78981018     -14.98159051     -15.02147198        583.6133           82.4587
 2457140.060536831   -14.41634406     -14.41315079     -16.11940530     -16.10398102     -16.51565217     -16.53253555      -16.75866678      -16.79067230     -14.98333878     -15.02254868        583.6154           82.4593
 2457140.080971279   -14.40850931     -14.40596581     -16.11844761     -16.10308456     -16.51229084     -16.53061867      -16.75569142      -16.79083633     -14.98016143     -15.02326202        583.6220           82.4526
 2457140.101399296   -14.40369737     -14.40225983     -16.11847915     -16.10245132     -16.51160931     -16.53144455      -16.75330852      -16.79240799     -14.97885026     -15.02585506        583.6330           82.4514
