# 
# MJD-BEG =    57139.09597163194 / Beginning of the first exposure in MJD        
# MJD-END =    57213.94425429398 / End of the last exposure in MJD               
# RA_TARG =            132.20689 / [deg] Right Ascension                         
# DEC_TARG=            12.129955 / [deg] Declination                             
# EQUINOX =               2000.0 / equinox of celestial coordinate system        
# RADESYS = 'FK5     '           / celestial coordinates system                  
# TARGNAME= 'm67-ch-13-id-006997' / Asiago Input Catalog source identifier
# TELESCOP= 'Kepler  '                                                           
# INSTRUME= 'Kepler Photometer'                                                  
# CHANNEL =                 13.0 / Kepler CCD channel                            
# CAMPAIGN=                    5 / Observing campaign number
# XPOSURE =               1800.0                                                 
# FILTER  = 'Kepler  '           / Photometric bandpass filter                   
# KPMAG   =              12.7273 / [mag] Instrumental Kepler magnitude           
# JMAG    =               10.163 / [mag] 2MASS J magnitude                       
# HMAG    =                9.552 / [mag] 2MASS H magnitude                       
# KMAG    =                9.352 / [mag] 2MASS K magnitude                       
# HLSPID  = 'PSFK2   '                                                           
# HLSNAME = 'PSFK2: A PSF-based approach to Kepler/K2 data' / Project title      
# REFERENC= '10.1093/mnras/stw2169' / DOI for the paper                          
# 
# 
# 
# COLUMN INFO 
# 
# TIME  = Time in BJD
# AP1C = Detrended K2 magnitude obtained with 1-pixel aperture photometry
# AP1R = Raw K2 magnitude obtained with 1-pixel aperture photometry
# AP2C = Detrended K2 magnitude obtained with 2.5-pixel aperture photometry
# AP2R = Raw K2 magnitude obtained with 2.5-pixel aperture photometry
# AP3C = Detrended K2 magnitude obtained with 3.5-pixel aperture photometry
# AP3R = Raw K2 magnitude obtained with 3.5-pixel aperture photometry
# AP4C = Detrended K2 magnitude obtained with 4.5-pixel aperture photometry
# AP4R = Raw K2 magnitude obtained with 4.5-pixel aperture photometry
# PSFC = Detrended K2 magnitude obtained with PSF-fitting photometry
# PSFR = Raw K2 magnitude obtained with PSF-fitting aperture photometry
# XPOS = x position in the K2 image (in Kepler pixel)
# YPOS = y position in the K2 image (in Kepler pixel)
# 
# 
# 
#       TIME            AP1C             AP1R             AP2C             AP2R             AP3C             AP3R              AP4C              AP4R             PSFC             PSFR               XPOS              YPOS
# 
 2457139.999241522   -12.37427482     -12.29986763     -12.91350808     -12.91488457     -12.94965814     -12.95403481        0.00000000       -0.00000000     -12.89525722     -12.86651230        421.9069          123.0315
 2457140.019669396   -12.37399748     -12.29822636     -12.91355952     -12.91476059     -12.94958857     -12.95395279        0.00000000       -0.00000000     -12.89245405     -12.86441708        421.9093          123.0318
 2457140.040099204   -12.37224380     -12.29484177     -12.91582254     -12.91678524     -12.95214582     -12.95642757        0.00000000       -0.00000000     -12.89340535     -12.86445045        421.9099          123.0306
 2457140.060536831   -12.37324769     -12.29308510     -12.91406958     -12.91407204     -12.95032802     -12.95394802        0.00000000       -0.00000000     -12.89623787     -12.86154842        421.9116          123.0316
 2457140.080971279   -12.37155391     -12.29073715     -12.91377052     -12.91397667     -12.94997276     -12.95368576        0.00000000       -0.00000000     -12.89517689     -12.85964775        421.9179          123.0243
 2457140.101399296   -12.37461032     -12.28910923     -12.91337320     -12.91353321     -12.94965409     -12.95345402        0.00000000       -0.00000000     -12.89140837     -12.85342407        421.9295          123.0238
 2457140.121827376   -12.37167175     -12.28183270     -12.91353410     -12.91324139     -12.94993492     -12.95334911        0.00000000       -0.00000000     -12.89620167     -12.84963131        421.9420          123.0106
 2457140.142265015   -12.36875500     -12.27844334     -12.91356327     -12.91285610     -12.95018733     -12.95325375        0.00000000       -0.00000000     -12.89757651     -12.84610844        421.9483          123.0065
 2457140.162699774   -12.37171044     -12.28146553     -12.91303401     -12.91241169     -12.95005750     -12.95325375        0.00000000       -0.00000000     -12.89475751     -12.84396935        421.9524          123.0026
 2457140.183128397   -12.37695913     -12.28832436     -12.91372934     -12.91271687     -12.95069011     -12.95348358        0.00000000       -0.00000000     -12.89459729     -12.84005070        421.9643          123.0016
 2457140.203556466   -12.37170335     -12.28628349     -12.91306512     -12.91185474     -12.95026560     -12.95305157        0.00000000       -0.00000000     -12.89347802     -12.83725929        421.9762          122.9948
 2457140.223992434   -12.37319949     -12.28832436     -12.91354974     -12.91198730     -12.95036203     -12.95293999        0.00000000       -0.00000000     -12.89231308     -12.83399010        421.9894          122.9889
 2457140.244428447   -12.37477392     -12.28787518     -12.91361989     -12.91132164     -12.95046372     -12.95264339        0.00000000       -0.00000000     -12.88930683     -12.83175850        422.0071          122.9820
 2457140.264858554   -12.37183873     -12.28615284     -12.91391478     -12.91104889     -12.95075793     -12.95262527        0.00000000       -0.00000000     -12.88806802     -12.83121586        422.0270          122.9765
 2457140.285285139   -12.36875708     -12.28239059     -12.91342262     -12.91018391     -12.95079977     -12.95257473        0.00000000       -0.00000000     -12.88542535     -12.83308029        422.0412          122.9662
 2457140.305720113   -12.36897073     -12.28217697     -12.91426410     -12.90985966     -12.95064936     -12.95192528        0.00000000       -0.00000000     -12.88836496     -12.83283615        422.0535          122.9623
 2457140.326157174   -12.36849133     -12.28183746     -12.91387776     -12.90960789     -12.95092884     -12.95204258        0.00000000       -0.00000000     -12.88412207     -12.83097839        422.0559          122.9644
 2457140.346587950   -12.36993795     -12.28278255     -12.91365984     -12.90930557     -12.95100361     -12.95214558        0.00000000       -0.00000000     -12.88177681     -12.83021927        422.0543          122.9636
 2457140.367015608   -12.37203782     -12.28443241     -12.91415258     -12.90914059     -12.95087169     -12.95195103        0.00000000       -0.00000000     -12.88547080     -12.82953453        422.0571          122.9624
 2457140.387448563   -12.36746432     -12.28028393     -12.91499073     -12.90845966     -12.95128383     -12.95171833        0.00000000       -0.00000000     -12.88383057     -12.83098602        422.0667          122.9600
 2457140.407885456   -12.36823576     -12.28088188     -12.91323153     -12.90657520     -12.95101242     -12.95134735        0.00000000       -0.00000000     -12.88620872     -12.83415890        422.0789          122.9494
 2457140.428318164   -12.37113012     -12.28669739     -12.91409986     -12.90649319     -12.95098366     -12.95111275        0.00000000       -0.00000000     -12.88288367     -12.83947372        422.0964          122.9415
 2457140.448745925   -12.37413577     -12.29004288     -12.91452227     -12.90588570     -12.95095576     -12.95076466        0.00000000       -0.00000000     -12.88543639     -12.84283447        422.1103          122.9353
 2457140.469175793   -12.37370820     -12.29082203     -12.91475547     -12.90536022     -12.95198474     -12.95096588        0.00000000       -0.00000000     -12.88509313     -12.84999466        422.1287          122.9252
 2457140.489613385   -12.36786656     -12.28735733     -12.91363068     -12.90436268     -12.95124666     -12.95063591        0.00000000       -0.00000000     -12.87839731     -12.85523033        422.1424          122.9173
 2457140.510047754   -12.37199697     -12.29412270     -12.91427475     -12.90432739     -12.95158102     -12.95066833        0.00000000       -0.00000000     -12.88316137     -12.86254978        422.1577          122.9096
 2457140.530475260   -12.28311139     -12.21259022     -12.91268027     -12.90291214     -12.95292393     -12.95179272        0.00000000       -0.00000000     -12.75739077     -12.77507210        421.8648          123.0225
 2457140.550904251   -12.36515269     -12.34289646     -12.91441614     -12.90662003     -12.95146192     -12.95214176        0.00000000       -0.00000000     -12.88251934     -12.92824554        421.5780          123.1465
 2457140.571341609   -12.37492474     -12.34643459     -12.91503749     -12.90693855     -12.95169863     -12.95221329        0.00000000       -0.00000000     -12.88763615     -12.92594337        421.5944          123.1366
 2457140.591776429   -12.36739377     -12.33376980     -12.91452985     -12.90658474     -12.95171274     -12.95237732        0.00000000       -0.00000000     -12.88701612     -12.92347145        421.6111          123.1291
 2457140.612205024   -12.37602050     -12.33000660     -12.91497642     -12.90650845     -12.95156829     -12.95227051        0.00000000       -0.00000000     -12.88218987     -12.92035198        421.6206          123.1249
 2457140.632632614   -12.37710970     -12.32722092     -12.91492913     -12.90642929     -12.95167140     -12.95232391        0.00000000       -0.00000000     -12.88288881     -12.91764832        421.6299          123.1214
 2457140.653069328   -12.37144952     -12.31526184     -12.91478901     -12.90629578     -12.95194531     -12.95216942        0.00000000       -0.00000000     -12.89666309     -12.91587257        421.6388          123.1183
 2457140.673505008   -12.36777255     -12.30945778     -12.91443005     -12.90574169     -12.95204607     -12.95226479        0.00000000       -0.00000000     -12.89467112     -12.91345978        421.6475          123.1158
 2457140.693934528   -12.36249953     -12.30231190     -12.91431336     -12.90570164     -12.95179247     -12.95233250        0.00000000       -0.00000000     -12.87024074     -12.89159679        421.6560          123.1077
 2457140.714361726   -12.36880473     -12.30364799     -12.91537975     -12.90645218     -12.95232255     -12.95222759        0.00000000       -0.00000000     -12.88064807     -12.88742542        421.6662          123.1108
 2457140.734796591   -12.37122488     -12.30270481     -12.91525553     -12.90647125     -12.95220226     -12.95238018        0.00000000       -0.00000000     -12.88413543     -12.88449669        421.6736          123.1066
 2457140.755233636   -12.36631526     -12.29599953     -12.91510665     -12.90628052     -12.95210031     -12.95213604        0.00000000       -0.00000000     -12.88124525     -12.88080788        421.6809          123.1022
 2457140.775663704   -12.36387156     -12.29199982     -12.91497439     -12.90652466     -12.95196669     -12.95225048        0.00000000       -0.00000000     -12.87773934     -12.87818146        421.6856          123.0963
 2457140.796091647   -12.36388144     -12.28729725     -12.91518113     -12.90629959     -12.95221826     -12.95215416        0.00000000       -0.00000000     -12.87886426     -12.87388325        421.6990          123.0931
 2457140.816525239   -12.37606296     -12.28560543     -12.91601943     -12.90637875     -12.95307470     -12.95227051        0.00000000       -0.00000000     -12.87854465     -12.86913109        421.7137          123.0911
 2457140.836961861   -12.36994589     -12.27927303     -12.91663047     -12.90687656     -12.95297703     -12.95219517        0.00000000       -0.00000000     -12.88084360     -12.86564445        421.7218          123.0915
 2457140.857394012   -12.36312684     -12.27580547     -12.91526017     -12.90628910     -12.95232098     -12.95210743        0.00000000       -0.00000000     -12.87620635     -12.86330223        421.7304          123.0899
 2457140.877821669   -12.37020958     -12.26921177     -12.91660016     -12.90666676     -12.95290475     -12.95211887        0.00000000       -0.00000000     -12.87719242     -12.86069107        421.7385          123.0895
 2457140.898252643   -12.36879696     -12.26562309     -12.91734614     -12.90713215     -12.95383620     -12.95278931        0.00000000       -0.00000000     -12.87727650     -12.85933495        421.7449          123.0860
 2457140.918690021   -12.36256910     -12.25850964     -12.91609825     -12.90611649     -12.95302738     -12.95200443        0.00000000       -0.00000000     -12.87769781     -12.85594177        421.7554          123.0832
 2457140.939123810   -12.36948222     -12.26009274     -12.91677711     -12.90654564     -12.95317196     -12.95217991        0.00000000       -0.00000000     -12.87028125     -12.85123825        421.7720          123.0788
 2457140.959551136   -12.36842333     -12.25751877     -12.91622713     -12.90612316     -12.95305937     -12.95213509        0.00000000       -0.00000000     -12.88834833     -12.86428070        421.7823          123.0765
 2457140.979980445   -12.36674895     -12.25479126     -12.91618030     -12.90606022     -12.95325914     -12.95223808        0.00000000       -0.00000000     -12.88774382     -12.86237812        421.7855          123.0755
 2457141.000418413   -12.36596908     -12.25452423     -12.91614416     -12.90606117     -12.95322595     -12.95234776        0.00000000       -0.00000000     -12.88615698     -12.86244392        421.7846          123.0761
 2457141.020852531   -12.36680556     -12.25430298     -12.91604897     -12.90584564     -12.95313139     -12.95215797        0.00000000       -0.00000000     -12.87913086     -12.85839081        421.7907          123.0727
 2457141.041281199   -12.36841841     -12.25219536     -12.91621014     -12.90569210     -12.95330763     -12.95204258        0.00000000       -0.00000000     -12.88091618     -12.85428810        421.7985          123.0707
 2457141.061708852   -12.36763003     -12.25064278     -12.91626601     -12.90585423     -12.95331262     -12.95201683        0.00000000       -0.00000000     -12.87886065     -12.85214329        421.8048          123.0701
 2457141.082145577   -12.36754047     -12.24963284     -12.91624769     -12.90587616     -12.95312553     -12.95191574        0.00000000       -0.00000000     -12.87597993     -12.84941673        421.8069          123.0680
 2457141.102581693   -12.36981689     -12.25211525     -12.91673374     -12.90567875     -12.95369340     -12.95196438        0.00000000       -0.00000000     -12.87985995     -12.85098553        421.8027          123.0703
 2457141.123009733   -12.36765445     -12.24982262     -12.91567076     -12.90495491     -12.95329299     -12.95191383        0.00000000       -0.00000000     -12.87714521     -12.85125256        421.8018          123.0685
 2457141.143437338   -12.37123156     -12.25098705     -12.91652571     -12.90511703     -12.95389580     -12.95195580        0.00000000       -0.00000000     -12.87846751     -12.84927273        421.8039          123.0683
 2457141.163873168   -12.36770474     -12.24769497     -12.91598370     -12.90495777     -12.95331890     -12.95177937        0.00000000       -0.00000000     -12.87638798     -12.84699535        421.8059          123.0701
 2457141.184309683   -12.36707230     -12.24188900     -12.91617150     -12.90483379     -12.95365348     -12.95182800        0.00000000       -0.00000000     -12.87532520     -12.84075165        421.8167          123.0640
 2457141.204739524   -12.36878287     -12.23770714     -12.91777246     -12.90489006     -12.95527090     -12.95165920        0.00000000       -0.00000000     -12.87703945     -12.83638954        421.8248          123.0599
 2457141.225168266   -12.36664450     -12.23580742     -12.91696894     -12.90455341     -12.95444753     -12.95132065        0.00000000       -0.00000000     -12.87195399     -12.83187389        421.8333          123.0571
 2457141.245600958   -12.36427590     -12.23418427     -12.91627838     -12.90404320     -12.95427447     -12.95126915        0.00000000       -0.00000000     -12.86877138     -12.82954311        421.8358          123.0537
 2457141.266037721   -12.36973250     -12.23392963     -12.91650663     -12.90330982     -12.95482320     -12.95118141        0.00000000       -0.00000000     -12.87387280     -12.82650948        421.8435          123.0487
 2457141.286470417   -12.36357116     -12.22637939     -12.91674136     -12.90343285     -12.95493576     -12.95119095        0.00000000       -0.00000000     -12.87060389     -12.82300854        421.8487          123.0481
 2457141.306897260   -12.36704548     -12.22724438     -12.91770548     -12.90429688     -12.95495550     -12.95129967        0.00000000       -0.00000000     -12.86896635     -12.81969833        421.8528          123.0504
 2457141.327329092   -12.37129422     -12.23084927     -12.91695510     -12.90365982     -12.95465684     -12.95112514        0.00000000       -0.00000000     -12.86618367     -12.81729126        421.8587          123.0462
 2457141.347766634   -12.37001322     -12.22982979     -12.91677640     -12.90373325     -12.95448656     -12.95116234        0.00000000       -0.00000000     -12.86876191     -12.81563950        421.8610          123.0448
 2457141.368198908   -12.36976295     -12.22964859     -12.91669030     -12.90372276     -12.95432241     -12.95111465        0.00000000       -0.00000000     -12.86747480     -12.81451130        421.8637          123.0443
 2457141.388626784   -12.36904858     -12.22938156     -12.91670105     -12.90372276     -12.95439353     -12.95112705        0.00000000       -0.00000000     -12.87319564     -12.81528091        421.8613          123.0446
 2457141.409056898   -12.36748948     -12.22933674     -12.91657924     -12.90384102     -12.95436272     -12.95129013        0.00000000       -0.00000000     -12.86681621     -12.81581879        421.8579          123.0480
 2457141.429494220   -12.36898039     -12.22895050     -12.91705339     -12.90406132     -12.95446953     -12.95138741        0.00000000       -0.00000000     -12.87079639     -12.81362438        421.8631          123.0446
 2457141.449928487   -12.36582678     -12.22725105     -12.91702117     -12.90378475     -12.95452821     -12.95119095        0.00000000       -0.00000000     -12.86910412     -12.80775642        421.8735          123.0419
 2457141.470357402   -12.36379707     -12.22532368     -12.91695858     -12.90428257     -12.95386389     -12.95103836        0.00000000       -0.00000000     -12.86236045     -12.80313110        421.8793          123.0448
 2457141.490784809   -12.36618769     -12.22853184     -12.91650240     -12.90361500     -12.95379441     -12.95084000        0.00000000       -0.00000000     -12.86493668     -12.80042267        421.8881          123.0382
