hip,ra,dec,radeg,decdeg
116,00 01 30.09,-33 47 33.7,0.375,-33.793
117,00 01 31.30,-72 36 21.3,0.38,-72.606
118,00 01 32.76,-09 25 48.1,0.386,-9.43
119,00 01 33.65,+44 40 31.6,0.39,44.675
120,00 01 35.04,-45 20 40.9,0.396,-45.345
121,00 01 35.15,+28 25 25.6,0.396,28.424
122,00 01 35.85,-77 03 55.1,0.399,-77.065
123,00 01 36.06,+72 14 11.8,0.4,72.237
124,00 01 37.02,+61 13 22.1,0.404,61.223
125,00 01 37.14,-39 20 12.0,0.405,-39.337
126,00 01 38.10,+14 37 56.3,0.409,14.632
127,00 01 38.90,-48 56 06.6,0.412,-48.935
128,00 01 39.30,+73 36 42.8,0.414,73.612
129,00 01 39.74,+05 22 21.9,0.416,5.373
130,00 01 40.38,-30 41 33.0,0.418,-30.692
131,00 01 40.79,+62 01 05.3,0.42,62.018
132,00 01 41.28,-34 39 12.6,0.422,-34.654
133,00 01 41.61,-40 08 55.2,0.423,-40.149
134,00 01 42.03,-01 08 23.9,0.425,-1.14
135,00 01 42.42,-00 13 03.0,0.427,-0.217
136,00 01 42.87,+24 15 11.5,0.429,24.253
137,00 01 43.85,+42 22 01.7,0.433,42.367
138,00 01 44.93,-16 31 54.2,0.437,-16.532
139,00 01 46.87,+67 30 25.1,0.445,67.507
140,00 01 48.64,-68 06 17.3,0.453,-68.105
141,00 01 48.82,+36 21 01.2,0.453,36.35
142,00 01 48.90,+66 18 21.6,0.454,66.306
∗143,00 01 49.24,+21 27 43.7,0.455,21.462
∗144,00 01 49.22,+76 10 32.2,0.455,76.176
145,00 01 49.44,-03 01 38.9,0.456,-3.027
146,00 01 49.49,-25 47 51.7,0.456,-25.798
147,00 01 51.85,+21 01 34.5,0.466,21.026
∗148,00 01 54.91,+15 31 42.7,0.479,15.529
∗149,00 01 54.88,+26 00 20.1,0.479,26.006
150,00 01 55.29,-37 13 47.4,0.48,-37.23
∗151,00 01 56.30,-41 36 49.5,0.485,-41.614
∗152,00 01 56.27,-28 07 51.4,0.484,-28.131
∗153,00 01 56.29,+12 39 17.8,0.485,12.655
154,00 01 57.59,-06 00 50.3,0.49,-6.014
155,00 01 57.87,+46 16 09.0,0.491,46.269
156,00 01 59.25,+63 21 28.2,0.497,63.358
157,00 02 00.08,-05 12 50.4,0.5,-5.214
158,00 02 00.11,-37 54 06.4,0.5,-37.902
159,00 02 02.59,-02 45 58.2,0.511,-2.766
160,00 02 02.81,-69 16 09.1,0.512,-69.269
161,00 02 03.00,+33 41 45.6,0.512,33.696
162,00 02 03.21,+27 07 07.0,0.513,27.119
163,00 02 04.11,-30 41 06.8,0.517,-30.685
164,00 02 04.46,+59 56 24.0,0.519,59.94
165,00 02 04.74,-22 19 38.9,0.52,-22.327
166,00 02 05.17,-56 30 53.6,0.522,-56.515
167,00 02 06.67,+39 10 59.6,0.528,39.183
168,00 02 08.05,-02 49 11.4,0.534,-2.82
169,00 02 08.41,-68 16 48.7,0.535,-68.28
170,00 02 09.04,-20 52 17.9,0.538,-20.872
171,00 02 09.65,+27 05 04.2,0.54,27.084
172,00 02 10.29,+67 24 32.2,0.543,67.409
173,00 02 11.90,+47 34 38.0,0.55,47.577
174,00 02 12.38,+59 57 55.2,0.552,59.965
175,00 02 12.58,+49 46 16.1,0.552,49.771
176,00 02 12.80,+44 25 41.8,0.553,44.428
177,00 02 14.45,-11 57 51.6,0.56,-11.964
178,00 02 16.27,-27 08 06.6,0.568,-27.135
179,00 02 16.53,-13 24 27.1,0.569,-13.408
180,00 02 17.02,-09 10 29.6,0.571,-9.175
181,00 02 17.72,+60 42 11.5,0.574,60.703
182,00 02 19.48,+52 35 11.2,0.581,52.586
183,00 02 19.91,-29 43 13.6,0.583,-29.72
184,00 02 21.55,+11 00 22.8,0.59,11.006
185,00 02 21.64,+10 47 08.3,0.59,10.786
186,00 02 24.17,+08 57 24.6,0.601,8.957
187,00 02 24.51,-06 03 33.1,0.602,-6.059
188,00 02 24.60,+06 19 59.3,0.603,6.333
189,00 02 25.27,+54 08 06.6,0.605,54.135
190,00 02 25.33,+10 46 35.9,0.606,10.777
191,00 02 26.95,-46 01 43.8,0.612,-46.029
192,00 02 28.76,+08 23 38.1,0.62,8.394
193,00 02 29.19,-39 12 45.0,0.622,-39.213
194,00 02 29.76,+08 29 08.1,0.624,8.486
195,00 02 30.18,+47 25 22.7,0.626,47.423
196,00 02 30.48,+51 49 47.9,0.627,51.83
197,00 02 31.76,+42 08 52.1,0.632,42.148
198,00 02 31.85,+15 20 06.7,0.633,15.335
199,00 02 32.41,+16 15 23.6,0.635,16.257
200,00 02 32.51,-33 59 33.6,0.635,-33.993
201,00 02 33.44,+18 41 00.1,0.639,18.683
202,00 02 34.02,+54 33 07.8,0.642,54.552
203,00 02 34.14,-15 49 52.6,0.642,-15.831
204,00 02 34.82,-43 56 52.5,0.645,-43.948
205,00 02 34.97,-05 11 11.9,0.646,-5.187
206,00 02 35.24,+18 50 09.6,0.647,18.836
∗207,00 02 36.08,+66 05 56.3,0.65,66.099
∗208,00 02 35.98,-67 38 03.4,0.65,-67.634
209,00 02 38.44,+66 06 01.4,0.66,66.1
210,00 02 38.92,-08 29 16.6,0.662,-8.488
211,00 02 39.16,-37 56 51.7,0.663,-37.948
212,00 02 39.23,-29 04 30.9,0.663,-29.075
213,00 02 40.05,+51 28 20.7,0.667,51.472
214,00 02 40.60,+28 32 32.0,0.669,28.542
∗215,00 02 41.88,+75 02 10.3,0.674,75.036
∗216,00 02 42.46,+42 55 14.5,0.677,42.921
∗217,00 02 41.86,+82 58 23.6,0.674,82.973
218,00 02 43.14,-57 38 01.1,0.68,-57.634
219,00 02 45.66,+06 02 04.0,0.69,6.034
220,00 02 46.02,+35 48 55.7,0.692,35.815
221,00 02 46.37,+80 16 56.1,0.693,80.282
222,00 02 46.68,-40 58 59.4,0.695,-40.983
∗223,00 02 47.14,+02 07 49.4,0.696,2.13
∗224,00 02 47.10,+03 51 37.5,0.696,3.86
225,00 02 48.02,-15 02 25.9,0.7,-15.041
226,00 02 48.07,-24 56 42.9,0.7,-24.945
227,00 02 49.00,+80 17 11.4,0.704,80.287
228,00 02 50.44,+28 15 06.8,0.71,28.252
229,00 02 51.34,+47 15 08.2,0.714,47.252
230,00 02 51.77,+30 20 11.5,0.716,30.337
231,00 02 53.62,-58 46 53.0,0.723,-58.781
232,00 02 55.21,-30 08 59.2,0.73,-30.15
233,00 02 55.67,+71 21 30.8,0.732,71.359
234,00 02 56.06,+70 14 16.8,0.734,70.238
235,00 02 56.75,+71 22 05.0,0.736,71.368
236,00 02 57.08,-00 53 37.8,0.738,-0.894
237,00 02 57.39,-39 31 38.4,0.739,-39.527
238,00 02 57.43,-20 02 45.9,0.739,-20.046
239,00 02 58.36,+03 22 55.0,0.743,3.382
240,00 02 58.50,+09 47 42.8,0.744,9.795
241,00 03 00.47,+09 08 17.9,0.752,9.138
242,00 03 00.52,-34 44 38.6,0.752,-34.744
243,00 03 00.81,-60 41 30.8,0.753,-60.692
244,00 03 02.13,+39 59 42.5,0.759,39.995
245,00 03 03.26,-07 48 55.9,0.764,-7.816
246,00 03 03.28,+56 43 59.5,0.764,56.733
247,00 03 03.73,+08 15 41.1,0.766,8.261
248,00 03 03.78,+08 16 14.9,0.766,8.271
249,00 03 05.81,+31 52 12.4,0.774,31.87
250,00 03 05.84,+52 27 54.6,0.774,52.465
251,00 03 06.10,-25 15 39.8,0.775,-25.261
252,00 03 07.10,+29 29 09.5,0.78,29.486
253,00 03 07.82,-24 08 42.5,0.783,-24.145
254,00 03 08.32,+42 44 52.5,0.785,42.748
255,00 03 10.69,-24 35 17.8,0.795,-24.588
256,00 03 11.18,+54 30 57.0,0.797,54.516
257,00 03 12.72,-31 12 44.6,0.803,-31.212
258,00 03 13.28,+17 33 08.6,0.805,17.552
259,00 03 13.42,+48 43 20.4,0.806,48.722
260,00 03 16.10,-55 24 18.3,0.817,-55.405
261,00 03 16.92,-23 36 55.2,0.821,-23.615
262,00 03 18.19,+32 50 45.1,0.826,32.846
263,00 03 19.02,+04 41 13.7,0.829,4.687
264,00 03 19.70,+38 14 38.5,0.832,38.244
∗265,00 03 20.49,-64 28 33.9,0.835,-64.476
∗266,00 03 20.49,-11 56 42.8,0.835,-11.945
267,00 03 20.50,-04 08 44.6,0.835,-4.146
268,00 03 22.03,+59 04 43.0,0.842,59.079
269,00 03 22.09,+23 34 30.2,0.842,23.575
270,00 03 24.01,+73 10 28.2,0.85,73.175
271,00 03 24.67,-35 57 54.6,0.853,-35.965
272,00 03 25.32,-26 24 54.7,0.856,-26.415
273,00 03 25.65,-46 49 51.5,0.857,-46.831
274,00 03 25.72,+63 38 25.9,0.857,63.641
275,00 03 25.84,-29 00 02.2,0.858,-29.001
276,00 03 25.90,+20 39 57.3,0.858,20.666
277,00 03 26.23,-36 15 04.3,0.859,-36.251
278,00 03 27.15,+55 33 03.2,0.863,55.551
279,00 03 27.31,+62 21 28.1,0.864,62.358
280,00 03 27.90,+53 18 45.7,0.866,53.313
281,00 03 30.28,+55 03 35.8,0.876,55.06
282,00 03 30.34,+19 22 53.7,0.876,19.382
283,00 03 30.52,+12 21 24.6,0.877,12.357
284,00 03 30.80,-65 49 39.2,0.878,-65.828
285,00 03 31.36,-35 36 08.0,0.881,-35.602
286,00 03 31.51,+78 43 04.1,0.881,78.718
287,00 03 32.59,-13 13 38.2,0.886,-13.227
288,00 03 33.30,+42 21 08.0,0.889,42.352
289,00 03 36.57,-51 48 32.7,0.902,-51.809
290,00 03 36.99,-31 05 38.5,0.904,-31.094
291,00 03 37.09,-28 25 01.7,0.905,-28.417
292,00 03 38.09,+70 18 21.7,0.909,70.306
293,00 03 39.82,-57 09 52.0,0.916,-57.164
294,00 03 40.12,+03 54 25.2,0.917,3.907
295,00 03 40.48,-41 05 45.1,0.919,-41.096
296,00 03 41.30,-28 23 45.1,0.922,-28.396
297,00 03 41.87,+48 26 12.9,0.924,48.437
298,00 03 42.47,+13 21 54.7,0.927,13.365
299,00 03 44.11,-63 36 02.4,0.934,-63.601
∗300,00 03 44.38,+42 01 24.6,0.935,42.023
∗301,00 03 44.37,-17 20 09.5,0.935,-17.336
302,00 03 51.63,+66 42 43.9,0.965,66.712
303,00 03 52.60,+57 22 41.8,0.969,57.378
304,00 03 52.75,+22 17 45.9,0.97,22.296
305,00 03 53.30,-28 23 37.6,0.972,-28.394
306,00 03 53.94,-57 49 49.3,0.975,-57.83
307,00 03 55.13,-42 33 34.2,0.98,-42.559
308,00 03 56.05,+14 22 44.1,0.984,14.379
309,00 03 56.62,-45 17 19.0,0.986,-45.289
310,00 03 56.98,-43 11 29.4,0.987,-43.191
311,00 03 57.02,+36 58 12.8,0.988,36.97
312,00 03 57.50,+61 06 13.1,0.99,61.104
313,00 03 57.86,-48 07 30.7,0.991,-48.125
314,00 03 58.01,+20 57 13.7,0.992,20.954
315,00 03 58.13,-71 16 43.1,0.992,-71.279
316,00 04 00.24,+12 08 45.0,1.001,12.146
317,00 04 00.61,-80 23 42.3,1.003,-80.395
318,00 04 02.32,-38 35 41.1,1.01,-38.595
319,00 04 03.80,+62 13 19.0,1.016,62.222
320,00 04 05.10,-16 59 51.5,1.021,-16.998
321,00 04 07.84,-25 53 33.2,1.033,-25.893
322,00 04 08.44,+56 55 15.6,1.035,56.921
∗323,00 04 10.25,+49 52 12.7,1.043,49.87
∗324,00 04 10.21,+17 26 12.1,1.043,17.437
325,00 04 10.47,+39 07 12.5,1.044,39.12
326,00 04 10.76,+11 15 51.8,1.045,11.264
327,00 04 11.08,-04 55 34.0,1.046,-4.926
328,00 04 11.89,-30 08 05.7,1.05,-30.135
329,00 04 12.33,-10 08 28.6,1.051,-10.141
330,00 04 13.66,+62 17 15.6,1.057,62.288
331,00 04 14.28,-26 57 08.5,1.059,-26.952
332,00 04 14.60,-34 24 52.8,1.061,-34.415
333,00 04 15.13,-17 25 29.5,1.063,-17.425
334,00 04 15.33,+60 09 18.1,1.064,60.155
335,00 04 15.84,+14 04 53.8,1.066,14.082
336,00 04 15.98,+65 09 10.7,1.067,65.153
337,00 04 16.14,-25 54 54.0,1.067,-25.915
338,00 04 16.16,+66 20 56.9,1.067,66.349
339,00 04 16.49,-59 18 54.7,1.069,-59.315
340,00 04 17.72,-43 59 18.0,1.074,-43.988
341,00 04 18.60,-23 15 14.2,1.077,-23.254
342,00 04 18.96,-20 34 07.5,1.079,-20.569
343,00 04 19.76,-16 31 44.0,1.082,-16.529
344,00 04 20.08,+40 06 35.8,1.084,40.11
345,00 04 20.30,-29 16 07.8,1.085,-29.269
346,00 04 21.07,-53 54 34.1,1.088,-53.909
347,00 04 21.29,+54 16 28.6,1.089,54.275
348,00 04 21.31,+12 57 25.4,1.089,12.957
349,00 04 22.89,-29 22 53.7,1.095,-29.382
350,00 04 23.83,-57 19 22.3,1.099,-57.323
351,00 04 24.63,-47 04 05.3,1.103,-47.068
352,00 04 26.42,+58 04 07.6,1.11,58.069
353,00 04 26.65,-44 34 02.4,1.111,-44.567
354,00 04 29.60,+51 49 45.5,1.123,51.829
355,00 04 30.12,-10 30 34.2,1.125,-10.509
356,00 04 30.17,-06 57 55.2,1.126,-6.965
357,00 04 30.53,-72 53 50.0,1.127,-72.897
358,00 04 33.45,-76 20 47.5,1.139,-76.347
359,00 04 34.62,-76 52 24.7,1.144,-76.874
360,00 04 34.92,+71 58 06.8,1.145,71.969
361,00 04 35.47,-71 41 42.0,1.148,-71.695
362,00 04 36.15,-19 26 16.3,1.151,-19.438
363,00 04 36.41,+43 33 04.7,1.152,43.551
364,00 04 36.49,-15 53 21.1,1.152,-15.889
∗365,00 04 36.60,+42 05 33.2,1.153,42.093
∗366,00 04 36.59,-31 10 08.6,1.152,-31.169
367,00 04 37.35,-81 20 43.1,1.156,-81.345
368,00 04 37.46,+02 56 14.0,1.156,2.937
369,00 04 38.14,+29 43 20.3,1.159,29.722
370,00 04 38.26,-51 35 00.1,1.159,-51.583
371,00 04 38.48,-50 02 09.4,1.16,-50.036
372,00 04 39.74,-70 24 15.2,1.166,-70.404
373,00 04 39.84,-08 11 05.7,1.166,-8.185
374,00 04 40.09,+34 15 54.7,1.167,34.265
375,00 04 40.15,+34 16 17.4,1.167,34.271
376,00 04 41.18,+06 31 21.3,1.172,6.523
377,00 04 41.25,-71 26 12.7,1.172,-71.437
378,00 04 41.26,+14 57 55.2,1.172,14.965
379,00 04 41.84,+67 09 59.0,1.174,67.166
380,00 04 42.71,+17 04 11.2,1.178,17.07
381,00 04 44.44,+51 32 01.9,1.185,51.534
382,00 04 45.16,-32 21 39.7,1.188,-32.361
383,00 04 45.33,+00 03 23.4,1.189,0.057
384,00 04 46.29,+01 32 13.0,1.193,1.537
385,00 04 46.84,+38 10 25.8,1.195,38.174
386,00 04 48.95,+68 11 19.3,1.204,68.189
387,00 04 49.95,+38 47 10.4,1.208,38.786
388,00 04 50.46,+06 25 00.1,1.21,6.417
389,00 04 50.81,-29 37 59.0,1.212,-29.633
390,00 04 50.82,+50 14 05.6,1.212,50.235
391,00 04 50.87,+43 58 14.8,1.212,43.971
392,00 04 51.96,+30 05 09.4,1.216,30.086
393,00 04 52.39,+51 58 57.3,1.218,51.983
394,00 04 53.21,+34 39 34.4,1.222,34.66
395,00 04 53.32,-30 15 23.8,1.222,-30.257
396,00 04 53.91,-31 59 47.8,1.225,-31.997
397,00 04 54.07,+52 14 56.2,1.225,52.249
398,00 04 54.97,+58 31 55.8,1.229,58.532
399,00 04 55.93,+26 38 55.7,1.233,26.649
400,00 04 56.08,+23 16 10.7,1.234,23.27
401,00 04 56.21,+56 03 25.1,1.234,56.057
402,00 04 56.39,+64 46 53.1,1.235,64.781
403,00 04 56.93,-18 10 42.6,1.237,-18.178
∗404,00 04 57.51,+45 40 26.2,1.24,45.674
∗405,00 04 57.48,+51 10 50.3,1.24,51.181
406,00 04 58.54,+26 43 30.9,1.244,26.725
407,00 04 58.63,-70 12 43.9,1.244,-70.212
408,00 04 58.81,+57 28 07.5,1.245,57.469
409,00 04 59.06,-70 29 32.7,1.246,-70.492
410,00 05 01.13,+27 40 29.3,1.255,27.675
411,00 05 01.59,+33 21 36.0,1.257,33.36
412,00 05 01.81,+66 31 00.4,1.258,66.517
413,00 05 02.48,-36 00 55.0,1.26,-36.015
414,00 05 02.94,-59 49 41.2,1.262,-59.828
415,00 05 03.31,+09 16 48.1,1.264,9.28
416,00 05 03.46,+01 02 16.2,1.264,1.038
417,00 05 03.80,-00 30 10.5,1.266,-0.503
418,00 05 06.13,+61 18 50.3,1.276,61.314
419,00 05 06.89,-42 34 04.1,1.279,-42.568
420,00 05 07.60,-52 09 05.1,1.282,-52.151
421,00 05 08.11,+45 13 32.4,1.284,45.226
422,00 05 08.82,+67 50 24.1,1.287,67.84
423,00 05 09.26,+30 19 44.8,1.289,30.329
∗424,00 05 09.78,+45 13 44.7,1.291,45.229
∗425,00 05 09.71,-62 50 43.0,1.29,-62.845
∗426,00 05 10.02,+30 19 52.7,1.292,30.331
∗427,00 05 09.95,-43 51 03.0,1.291,-43.851
∗428,00 05 10.16,+45 47 13.0,1.292,45.787
∗429,00 05 10.16,+02 23 50.3,1.292,2.397
430,00 05 10.31,-32 28 06.6,1.293,-32.468
431,00 05 12.48,+36 18 13.3,1.302,36.304
432,00 05 13.00,+35 34 16.0,1.304,35.571
433,00 05 14.86,+03 00 26.6,1.312,3.007
434,00 05 15.24,-27 16 17.8,1.313,-27.272
435,00 05 15.26,-49 08 32.0,1.314,-49.142
436,00 05 17.87,-67 49 52.4,1.324,-67.831
437,00 05 17.88,+48 28 37.9,1.325,48.477
438,00 05 18.45,-01 47 38.8,1.327,-1.794
∗439,00 05 20.29,-37 21 06.1,1.335,-37.352
∗440,00 05 19.86,+68 53 03.9,1.333,68.884
∗441,00 05 19.91,-38 51 26.0,1.333,-38.857
∗442,00 05 20.03,-21 18 55.1,1.333,-21.315
∗443,00 05 20.15,-05 42 28.2,1.334,-5.708
444,00 05 20.78,-59 48 52.2,1.337,-59.814
445,00 05 21.63,-56 57 20.2,1.34,-56.956
∗446,00 05 22.15,-79 15 14.1,1.342,-79.254
∗447,00 05 22.06,+08 47 16.6,1.342,8.788
448,00 05 22.25,+03 36 22.0,1.343,3.606
449,00 05 22.74,-33 29 57.9,1.345,-33.499
450,00 05 23.99,+28 32 37.5,1.35,28.544
451,00 05 24.28,+16 19 44.7,1.351,16.329
452,00 05 25.36,+21 34 09.8,1.356,21.569
453,00 05 25.47,-03 51 05.7,1.356,-3.852
454,00 05 26.41,-14 25 19.5,1.36,-14.422
455,00 05 27.54,+76 17 29.6,1.365,76.292
456,00 05 27.70,-37 18 09.1,1.365,-37.303
457,00 05 28.03,-42 53 14.6,1.367,-42.887
458,00 05 28.23,-07 39 55.2,1.368,-7.665
459,00 05 28.35,-61 13 32.4,1.368,-61.226
460,00 05 28.74,+22 13 28.8,1.37,22.225
461,00 05 29.06,+34 06 20.4,1.371,34.106
462,00 05 31.11,-09 37 02.3,1.38,-9.617
463,00 05 31.98,-35 07 47.0,1.383,-35.13
464,00 05 32.13,-31 58 03.5,1.384,-31.968
465,00 05 33.82,+76 17 09.0,1.391,76.286
466,00 05 34.91,+53 10 18.1,1.395,53.172
467,00 05 35.14,-47 34 09.5,1.396,-47.569
468,00 05 35.75,-61 18 35.6,1.399,-61.31
469,00 05 36.25,-51 15 37.6,1.401,-51.26
470,00 05 36.95,+43 24 05.2,1.404,43.401
471,00 05 38.86,-58 17 22.3,1.412,-58.29
472,00 05 39.72,+55 42 35.6,1.415,55.71
473,00 05 40.28,+45 48 44.8,1.418,45.812
474,00 05 40.85,+44 28 07.3,1.42,44.469
475,00 05 41.60,+58 18 49.2,1.423,58.314
476,00 05 41.94,+13 23 46.6,1.425,13.396
477,00 05 42.94,-29 57 38.3,1.429,-29.961
478,00 05 43.03,-22 30 35.2,1.429,-22.51
∗479,00 05 43.25,+25 36 54.6,1.43,25.615
∗480,00 05 43.24,-15 21 55.8,1.43,-15.365
481,00 05 44.06,-36 46 42.4,1.434,-36.778
482,00 05 44.41,+17 50 25.2,1.435,17.84
483,00 05 45.37,+81 04 17.3,1.439,81.071
484,00 05 46.01,-19 40 11.3,1.442,-19.67
485,00 05 47.47,+47 05 14.3,1.448,47.087
486,00 05 49.69,-52 49 12.4,1.457,-52.82
487,00 05 50.98,+78 44 18.3,1.462,78.738
488,00 05 51.02,-68 33 04.6,1.463,-68.551
489,00 05 51.87,+02 45 52.7,1.466,2.765
490,00 05 52.47,-41 45 10.4,1.469,-41.753
491,00 05 52.79,+12 31 38.8,1.47,12.527
∗492,00 05 54.85,-14 25 57.8,1.479,-14.433
∗493,00 05 54.84,+18 14 07.3,1.478,18.235
494,00 05 55.13,-68 48 41.9,1.48,-68.812
495,00 05 55.56,+18 04 34.4,1.482,18.076
496,00 05 56.71,+24 34 08.6,1.486,24.569
497,00 05 57.05,+49 37 20.5,1.488,49.622
498,00 05 58.27,+44 44 21.8,1.493,44.739
499,00 05 58.96,-54 38 26.1,1.496,-54.641
500,00 06 00.03,-48 40 43.4,1.5,-48.679
501,00 06 00.13,-39 08 15.1,1.501,-39.138
502,00 06 00.54,+28 16 37.1,1.502,28.277
503,00 06 01.05,+16 27 07.5,1.504,16.452
504,00 06 03.21,+24 54 59.9,1.513,24.917
