hip,ra,dec,radeg,decdeg
2196,00 27 44.78,-17 19 53.4,6.937,-17.331
2197,00 27 45.89,+23 28 03.6,6.941,23.468
2198,00 27 48.19,+46 33 18.0,6.951,46.555
2199,00 27 48.27,+48 44 51.4,6.951,48.748
2200,00 27 48.56,+28 10 26.0,6.952,28.174
2201,00 27 49.78,-06 29 01.8,6.957,-6.484
2202,00 27 50.05,+18 02 43.9,6.959,18.046
2203,00 27 51.14,-25 16 54.7,6.963,-25.282
2204,00 27 52.05,+52 57 18.1,6.967,52.955
2205,00 27 52.26,+50 54 45.1,6.968,50.913
2206,00 27 52.99,+23 34 17.8,6.971,23.572
2207,00 27 53.90,-24 50 54.3,6.975,-24.848
2208,00 27 55.28,-01 40 53.9,6.98,-1.682
2209,00 27 55.56,-57 14 40.9,6.981,-57.245
2210,00 27 55.71,-33 00 25.4,6.982,-33.007
2211,00 27 56.75,+68 55 32.9,6.986,68.926
2212,00 27 57.46,+02 03 13.5,6.989,2.054
2213,00 27 58.48,+19 30 50.7,6.994,19.514
2214,00 28 00.41,-69 32 32.1,7.002,-69.542
2215,00 28 00.52,-11 39 31.5,7.002,-11.659
2216,00 28 01.36,+27 05 50.7,7.006,27.097
2217,00 28 01.38,-49 44 10.7,7.006,-49.736
2218,00 28 02.17,-52 57 08.4,7.009,-52.952
2219,00 28 02.84,+17 53 35.1,7.012,17.893
2220,00 28 07.65,+16 42 57.8,7.032,16.716
2221,00 28 09.44,+53 40 09.4,7.039,53.669
2222,00 28 10.31,+20 47 45.5,7.043,20.796
2223,00 28 11.88,+59 05 31.8,7.05,59.092
2224,00 28 12.69,+16 26 42.4,7.053,16.445
∗2225,00 28 13.59,+44 23 40.2,7.057,44.395
∗2226,00 28 13.57,-54 37 21.3,7.057,-54.623
2227,00 28 14.15,-29 02 24.7,7.059,-29.04
2228,00 28 14.49,-65 54 43.8,7.06,-65.912
2229,00 28 14.57,+42 10 37.3,7.061,42.177
2230,00 28 15.21,-50 37 40.9,7.063,-50.628
2231,00 28 16.67,+28 03 37.8,7.069,28.061
2232,00 28 17.00,+63 44 05.8,7.071,63.735
2233,00 28 18.31,-44 23 20.2,7.076,-44.389
2234,00 28 19.82,-64 43 46.6,7.083,-64.73
2235,00 28 20.03,+10 11 25.2,7.083,10.19
2236,00 28 21.12,-45 52 08.7,7.088,-45.869
2237,00 28 21.17,-20 20 05.2,7.088,-20.335
2238,00 28 22.96,-22 51 17.9,7.096,-22.855
2239,00 28 26.42,-29 17 04.7,7.11,-29.285
2240,00 28 26.42,-39 54 53.6,7.11,-39.915
2241,00 28 27.73,+33 47 56.3,7.116,33.799
2242,00 28 28.37,-02 30 47.9,7.118,-2.513
2243,00 28 28.59,+32 26 16.1,7.119,32.438
2244,00 28 30.93,+07 05 24.7,7.129,7.09
2245,00 28 32.33,+12 35 16.5,7.135,12.588
2246,00 28 33.15,-11 14 14.0,7.138,-11.237
2247,00 28 34.52,-16 13 32.8,7.144,-16.226
2248,00 28 36.75,+39 05 24.5,7.153,39.09
2249,00 28 36.90,+33 38 02.5,7.154,33.634
2250,00 28 38.48,-09 24 18.8,7.16,-9.405
2251,00 28 40.75,-55 44 21.9,7.17,-55.739
2252,00 28 40.87,+37 18 14.9,7.17,37.304
2253,00 28 41.13,-54 25 52.2,7.171,-54.431
2254,00 28 41.97,-37 00 38.5,7.175,-37.011
2255,00 28 42.70,-24 04 42.5,7.178,-24.078
2256,00 28 42.98,-50 31 58.2,7.179,-50.533
2257,00 28 45.59,+00 46 01.8,7.19,0.767
2258,00 28 45.82,+42 23 06.1,7.191,42.385
2259,00 28 47.97,+62 30 22.6,7.2,62.506
2260,00 28 49.57,-60 46 28.9,7.207,-60.775
2261,00 28 49.75,-49 05 57.4,7.207,-49.099
2262,00 28 50.40,-53 03 33.3,7.21,-53.059
2263,00 28 50.74,-24 38 12.1,7.211,-24.637
2264,00 28 51.16,+08 23 02.3,7.213,8.384
2265,00 28 51.49,+20 36 30.8,7.215,20.609
2266,00 28 52.12,-44 36 24.8,7.217,-44.607
2267,00 28 54.24,+57 12 35.1,7.226,57.21
2268,00 28 54.29,+48 05 40.8,7.226,48.095
2269,00 28 56.43,-34 53 13.6,7.235,-34.887
2270,00 28 56.67,+36 53 58.9,7.236,36.9
2271,00 28 57.00,+48 24 49.4,7.237,48.414
2272,00 28 59.51,-54 17 07.2,7.248,-54.285
2273,00 29 03.22,-27 23 30.6,7.263,-27.392
2274,00 29 04.05,-17 13 00.8,7.267,-17.217
2275,00 29 05.68,-07 42 10.1,7.274,-7.703
2276,00 29 05.70,-31 37 20.2,7.274,-31.622
2277,00 29 06.88,+13 33 08.5,7.279,13.552
2278,00 29 07.33,-27 00 37.1,7.281,-27.01
2279,00 29 08.07,-55 38 21.3,7.284,-55.639
2280,00 29 08.60,+11 19 12.5,7.286,11.32
2281,00 29 09.98,+00 02 26.8,7.292,0.041
2282,00 29 10.11,-50 36 41.7,7.292,-50.612
2283,00 29 10.43,-11 35 53.2,7.293,-11.598
2284,00 29 10.84,-45 03 33.6,7.295,-45.059
2285,00 29 11.14,+44 59 42.2,7.296,44.995
2286,00 29 12.12,-37 54 30.5,7.301,-37.908
2287,00 29 12.44,-17 49 30.6,7.302,-17.825
2288,00 29 13.79,-24 55 50.1,7.307,-24.931
2289,00 29 14.30,+59 28 10.1,7.31,59.469
2290,00 29 14.33,-15 03 55.1,7.31,-15.065
2291,00 29 15.87,-13 33 36.3,7.316,-13.56
2292,00 29 16.18,-05 54 35.8,7.317,-5.91
2293,00 29 17.27,+80 54 48.2,7.322,80.913
2294,00 29 17.37,-34 06 07.8,7.322,-34.102
2295,00 29 17.58,-31 16 38.5,7.323,-31.277
2296,00 29 17.73,+50 07 48.2,7.324,50.13
2297,00 29 18.82,-45 40 37.4,7.328,-45.677
2298,00 29 19.22,-05 38 02.2,7.33,-5.634
2299,00 29 20.13,+79 52 42.0,7.334,79.878
2300,00 29 20.84,+28 49 40.0,7.337,28.828
2301,00 29 21.29,+26 52 18.2,7.339,26.872
2302,00 29 21.30,-06 30 52.6,7.339,-6.515
∗2303,00 29 23.17,-35 43 30.5,7.347,-35.725
∗2304,00 29 23.12,-40 39 55.5,7.346,-40.665
2305,00 29 23.56,+40 50 30.6,7.348,40.842
2306,00 29 24.60,+26 29 43.3,7.353,26.495
2307,00 29 25.13,+56 56 46.5,7.355,56.946
2308,00 29 27.35,+53 23 13.0,7.364,53.387
2309,00 29 27.46,+15 00 37.1,7.364,15.01
2310,00 29 27.98,+38 42 54.1,7.367,38.715
2311,00 29 28.45,-11 01 01.3,7.369,-11.017
2312,00 29 29.34,-03 28 09.4,7.372,-3.469
2313,00 29 30.95,+13 28 50.2,7.379,13.481
2314,00 29 31.15,+24 52 52.3,7.38,24.881
2315,00 29 32.04,+10 23 13.9,7.383,10.387
2316,00 29 32.59,+19 02 02.3,7.386,19.034
2317,00 29 33.41,-72 40 55.5,7.389,-72.682
2318,00 29 33.44,-35 49 25.0,7.389,-35.824
2319,00 29 34.79,-32 34 10.0,7.395,-32.569
2320,00 29 36.06,+62 03 51.0,7.4,62.064
2321,00 29 37.28,-50 52 48.0,7.405,-50.88
2322,00 29 38.25,-04 00 54.1,7.409,-4.015
2323,00 29 39.01,-02 50 25.2,7.413,-2.84
2324,00 29 39.09,+32 59 13.8,7.413,32.987
2325,00 29 39.92,+52 18 16.7,7.416,52.305
2326,00 29 42.04,+30 09 51.1,7.425,30.164
2327,00 29 42.63,+20 18 05.2,7.428,20.301
2328,00 29 44.68,+58 55 26.1,7.436,58.924
2329,00 29 47.85,+57 01 50.6,7.449,57.031
2330,00 29 48.99,-32 06 57.3,7.454,-32.116
2331,00 29 49.25,+02 28 56.1,7.455,2.482
2332,00 29 50.80,+09 41 52.2,7.462,9.698
2333,00 29 50.94,-00 19 15.2,7.462,-0.321
∗2334,00 29 51.46,-33 25 04.3,7.464,-33.418
∗2335,00 29 51.45,+46 23 06.1,7.464,46.385
2336,00 29 51.70,+38 19 27.7,7.465,38.324
2337,00 29 51.81,-14 51 50.5,7.466,-14.864
2338,00 29 52.79,-44 04 58.6,7.47,-44.083
2339,00 29 54.06,+59 15 18.1,7.475,59.255
2340,00 29 54.17,+08 48 22.5,7.476,8.806
2341,00 29 54.59,+45 00 23.3,7.477,45.006
2342,00 29 54.99,-32 16 23.8,7.479,-32.273
2343,00 29 55.25,-01 07 03.2,7.48,-1.118
2344,00 29 55.81,-19 02 33.0,7.483,-19.043
2345,00 29 56.43,-66 09 51.6,7.485,-66.164
2346,00 29 57.35,-27 14 43.4,7.489,-27.245
2347,00 29 58.59,+60 12 43.1,7.494,60.212
2348,00 29 58.76,-46 40 55.0,7.495,-46.682
2349,00 29 59.21,-59 47 39.6,7.497,-59.794
2350,00 29 59.93,-05 45 48.4,7.5,-5.763
2351,00 30 00.03,-14 25 25.1,7.5,-14.424
2352,00 30 01.75,+75 14 34.3,7.507,75.243
2353,00 30 02.35,-03 57 26.3,7.51,-3.957
2354,00 30 06.01,+60 09 04.1,7.525,60.151
2355,00 30 07.34,+29 45 06.1,7.531,29.752
2356,00 30 07.39,+06 28 03.5,7.531,6.468
2357,00 30 08.49,-09 14 07.0,7.535,-9.235
2358,00 30 08.70,+04 51 36.3,7.536,4.86
2359,00 30 09.23,-22 30 20.3,7.538,-22.506
2360,00 30 09.28,+24 36 26.3,7.539,24.607
2361,00 30 09.90,-33 24 12.3,7.541,-33.403
2362,00 30 10.06,-12 20 48.8,7.542,-12.347
2363,00 30 10.51,-21 27 43.2,7.544,-21.462
2364,00 30 10.63,+54 27 48.0,7.544,54.463
2365,00 30 11.70,+22 24 01.1,7.549,22.4
2366,00 30 11.91,+35 38 36.8,7.55,35.644
2367,00 30 12.21,+52 30 57.7,7.551,52.516
2368,00 30 13.05,-19 11 37.5,7.554,-19.194
2369,00 30 14.94,+05 21 44.2,7.562,5.362
2370,00 30 16.33,-29 14 37.5,7.568,-29.244
2371,00 30 16.35,+64 44 56.3,7.568,64.749
2372,00 30 17.62,-55 02 08.3,7.573,-55.036
2373,00 30 18.06,+07 10 44.9,7.575,7.179
2374,00 30 18.30,+15 47 43.2,7.576,15.795
2375,00 30 18.95,-28 27 27.0,7.579,-28.457
2376,00 30 19.71,-48 03 13.3,7.582,-48.054
2377,00 30 19.91,+59 58 39.2,7.583,59.978
2378,00 30 20.86,+64 47 24.9,7.587,64.79
2379,00 30 21.61,-19 51 01.3,7.59,-19.85
2380,00 30 21.86,-32 43 23.4,7.591,-32.723
2381,00 30 22.67,-23 47 15.8,7.594,-23.788
2382,00 30 24.45,+60 10 09.3,7.602,60.169
2383,00 30 25.97,-48 12 52.9,7.608,-48.215
2384,00 30 26.23,+40 22 09.0,7.609,40.369
2385,00 30 26.28,+72 31 51.7,7.609,72.531
2386,00 30 26.65,-15 54 55.2,7.611,-15.915
2387,00 30 27.43,+05 59 51.4,7.614,5.998
2388,00 30 27.83,-40 56 22.7,7.616,-40.94
2389,00 30 27.85,-15 07 26.1,7.616,-15.124
2390,00 30 28.33,+65 16 19.8,7.618,65.272
2391,00 30 29.22,+04 20 20.5,7.622,4.339
2392,00 30 29.27,-39 31 06.1,7.622,-39.518
2393,00 30 29.36,+32 10 37.0,7.622,32.177
2394,00 30 29.39,-08 05 03.1,7.622,-8.084
2395,00 30 29.55,+24 06 22.8,7.623,24.106
2396,00 30 29.66,+43 08 12.1,7.624,43.137
2397,00 30 30.90,+22 46 09.9,7.629,22.769
2398,00 30 31.23,+03 16 00.8,7.63,3.267
2399,00 30 34.76,-13 42 54.9,7.645,-13.715
2400,00 30 34.93,+36 10 08.7,7.646,36.169
2401,00 30 35.05,+23 29 05.1,7.646,23.485
2402,00 30 36.77,+17 48 47.7,7.653,17.813
2403,00 30 38.04,-18 37 15.4,7.659,-18.621
2404,00 30 38.12,-28 32 10.5,7.659,-28.536
2405,00 30 38.43,-27 56 06.9,7.66,-27.935
2406,00 30 39.66,-54 58 13.0,7.665,-54.97
2407,00 30 39.88,+32 08 11.5,7.666,32.137
2408,00 30 40.73,-09 24 27.8,7.67,-9.408
2409,00 30 41.62,+62 21 14.4,7.673,62.354
2410,00 30 41.99,+09 55 13.6,7.675,9.92
2411,00 30 42.94,+13 39 11.4,7.679,13.653
2412,00 30 44.51,+19 04 02.2,7.685,19.067
2413,00 30 45.40,+57 03 54.2,7.689,57.065
2414,00 30 45.56,+47 31 48.0,7.69,47.53
2415,00 30 47.17,+16 02 15.4,7.697,16.038
2416,00 30 48.07,-56 35 42.4,7.7,-56.595
2417,00 30 49.06,-41 23 24.5,7.704,-41.39
2418,00 30 49.25,+66 07 51.8,7.705,66.131
2419,00 30 50.68,+81 22 30.4,7.711,81.375
2420,00 30 52.31,+41 31 18.1,7.718,41.522
2421,00 30 53.34,+29 31 42.3,7.722,29.528
2422,00 30 54.20,+77 01 10.2,7.726,77.019
2423,00 30 54.30,+64 03 51.7,7.726,64.064
2424,00 30 54.75,-38 45 00.1,7.728,-38.75
2425,00 30 54.91,+35 00 44.9,7.729,35.012
2426,00 30 55.09,+73 22 13.7,7.73,73.37
2427,00 30 56.75,-36 14 17.5,7.736,-36.238
2428,00 30 56.81,-37 47 16.0,7.737,-37.788
2429,00 30 58.52,+34 05 55.2,7.744,34.099
2430,00 30 59.53,+61 26 19.2,7.748,61.439
2431,00 30 59.91,-10 05 04.7,7.75,-10.085
2432,00 31 00.20,+55 47 27.5,7.751,55.791
2433,00 31 01.17,-31 38 19.3,7.755,-31.639
2434,00 31 01.67,+43 22 27.2,7.757,43.374
2435,00 31 01.92,-51 57 10.5,7.758,-51.953
2436,00 31 01.92,-43 17 31.9,7.758,-43.292
2437,00 31 02.51,+50 15 14.4,7.76,50.254
2438,00 31 03.10,-32 37 54.5,7.763,-32.632
2439,00 31 03.37,+34 39 02.4,7.764,34.651
2440,00 31 03.88,+55 42 10.2,7.766,55.703
2441,00 31 03.92,+09 18 19.8,7.766,9.306
2442,00 31 04.11,+57 21 56.2,7.767,57.366
2443,00 31 04.76,-23 29 15.1,7.77,-23.488
2444,00 31 05.23,-10 05 01.9,7.772,-10.084
2445,00 31 05.66,-69 02 18.4,7.774,-69.038
2446,00 31 05.71,-48 38 27.6,7.774,-48.641
2447,00 31 06.82,-37 36 17.8,7.778,-37.605
2448,00 31 08.02,-42 17 34.8,7.783,-42.293
2449,00 31 10.49,-64 17 36.8,7.794,-64.294
2450,00 31 10.57,+56 00 05.1,7.794,56.001
2451,00 31 11.99,-21 21 04.3,7.8,-21.351
2452,00 31 12.22,-41 52 53.8,7.801,-41.882
2453,00 31 12.41,+69 47 07.6,7.802,69.785
∗2454,00 31 14.92,+63 21 16.0,7.812,63.354
∗2455,00 31 12.90,+43 56 47.6,7.804,43.947
∗2456,00 31 13.70,-35 28 37.4,7.807,-35.477
2457,00 31 15.05,+55 17 52.9,7.813,55.298
2458,00 31 15.23,+01 57 53.1,7.813,1.965
2459,00 31 15.44,+57 15 06.1,7.814,57.252
∗2460,00 31 17.66,+63 20 33.0,7.824,63.343
∗2461,00 31 16.48,-20 56 53.1,7.819,-20.948
∗2462,00 31 16.50,-51 38 57.6,7.819,-51.649
∗2463,00 31 16.92,-16 47 40.3,7.821,-16.795
∗2464,00 31 17.40,+71 07 19.2,7.822,71.122
2465,00 31 18.49,-43 36 23.0,7.827,-43.606
∗2466,00 31 22.00,+63 19 50.6,7.842,63.331
∗2467,00 31 20.25,-11 13 25.7,7.834,-11.224
∗2468,00 31 20.42,-56 14 29.4,7.835,-56.242
∗2469,00 31 21.12,+39 00 39.4,7.838,39.011
2470,00 31 23.19,-45 54 05.5,7.847,-45.902
2471,00 31 23.96,-02 01 02.5,7.85,-2.017
2472,00 31 24.86,-48 48 12.8,7.854,-48.804
2473,00 31 25.08,+38 58 50.2,7.854,38.981
2474,00 31 25.20,+66 31 10.7,7.855,66.52
2475,00 31 25.61,+33 34 54.1,7.857,33.582
2476,00 31 25.73,+42 31 30.4,7.857,42.525
2477,00 31 27.27,+05 57 18.2,7.864,5.955
2478,00 31 27.70,-37 12 03.0,7.865,-37.201
2479,00 31 30.32,+11 31 56.3,7.876,11.532
2480,00 31 30.74,+20 49 46.3,7.878,20.83
2481,00 31 31.32,+21 06 36.8,7.88,21.11
2482,00 31 31.66,-04 16 54.8,7.882,-4.282
2483,00 31 31.72,-11 16 23.7,7.882,-11.273
2484,00 31 32.56,-62 57 29.1,7.886,-62.958
∗2485,00 31 33.36,+39 19 52.8,7.889,39.331
∗2486,00 31 33.48,-36 16 25.4,7.889,-36.274
∗2487,00 31 33.36,-62 57 55.6,7.889,-62.965
2488,00 31 34.65,-61 20 48.0,7.894,-61.347
2489,00 31 35.65,-53 07 04.5,7.899,-53.118
2490,00 31 36.09,+16 01 15.7,7.9,16.021
2491,00 31 37.36,+09 09 40.4,7.906,9.161
2492,00 31 37.54,+00 36 50.6,7.906,0.614
2493,00 31 38.40,+58 08 37.2,7.91,58.144
2494,00 31 39.96,+58 03 32.1,7.917,58.059
2495,00 31 40.02,+23 42 29.6,7.917,23.708
2496,00 31 40.74,-01 47 37.1,7.92,-1.794
2497,00 31 41.21,+52 50 22.4,7.922,52.84
2498,00 31 41.51,+12 54 50.0,7.923,12.914
2499,00 31 41.63,-47 25 19.8,7.923,-47.422
2500,00 31 42.28,+03 45 22.6,7.926,3.756
2501,00 31 42.93,+61 07 50.0,7.929,61.131
2502,00 31 43.44,+19 28 55.5,7.931,19.482
2503,00 31 44.23,+53 57 42.0,7.934,53.962
2504,00 31 44.40,-53 28 48.6,7.935,-53.48
2505,00 31 46.32,+54 31 20.4,7.943,54.522
2506,00 31 46.89,-30 24 39.4,7.945,-30.411
2507,00 31 47.32,+45 55 34.9,7.947,45.926
2508,00 31 48.14,+17 16 46.1,7.951,17.279
2509,00 31 49.48,+36 58 01.7,7.956,36.967
2510,00 31 49.75,+04 50 46.4,7.957,4.846
2511,00 31 51.03,-27 49 42.2,7.963,-27.828
2512,00 31 51.06,+18 06 20.0,7.963,18.106
2513,00 31 52.73,-25 42 40.1,7.97,-25.711
2514,00 31 52.81,+48 39 28.3,7.97,48.658
2515,00 31 53.80,-05 15 42.3,7.974,-5.262
2516,00 31 53.88,+45 31 03.0,7.974,45.517
2517,00 31 54.88,+19 38 34.6,7.979,19.643
2518,00 31 56.33,+28 30 34.7,7.985,28.51
2519,00 31 56.52,+01 30 37.5,7.986,1.51
2520,00 31 57.29,+28 31 15.9,7.989,28.521
2521,00 31 57.36,+03 51 44.7,7.989,3.862
2522,00 31 57.60,+30 31 19.2,7.99,30.522
2523,00 31 58.64,-13 18 33.9,7.994,-13.309
2524,00 32 02.75,+68 57 34.1,8.011,68.959
2525,00 32 02.83,+67 09 40.1,8.012,67.161
2526,00 32 04.24,+55 59 39.0,8.018,55.994
2527,00 32 04.67,-18 13 18.9,8.019,-18.222
2528,00 32 04.97,+50 00 12.9,8.021,50.004
2529,00 32 05.12,+30 32 39.1,8.021,30.544
2530,00 32 06.17,-36 14 21.6,8.026,-36.239
2531,00 32 07.04,+53 00 09.9,8.029,53.003
2532,00 32 07.04,-12 17 42.1,8.029,-12.295
2533,00 32 08.10,-05 10 43.1,8.034,-5.179
2534,00 32 08.95,+43 42 41.9,8.037,43.712
2535,00 32 09.86,+47 07 22.3,8.041,47.123
2536,00 32 10.94,-24 07 58.1,8.046,-24.133
2537,00 32 11.38,+53 48 54.4,8.047,53.815
2538,00 32 14.02,-26 47 45.9,8.058,-26.796
2539,00 32 14.04,+34 59 38.2,8.059,34.994
2540,00 32 14.74,-63 05 27.6,8.061,-63.091
2541,00 32 20.36,+27 42 42.7,8.085,27.712
2542,00 32 21.02,-51 59 25.6,8.088,-51.99
2543,00 32 21.78,+58 20 19.1,8.091,58.339
∗2544,00 32 22.09,-24 38 46.6,8.092,-24.646
∗2545,00 32 22.09,+33 27 09.2,8.092,33.453
2546,00 32 22.73,+26 01 45.9,8.095,26.029
2547,00 32 23.61,+13 32 13.2,8.098,13.537
∗2548,00 32 23.75,+06 57 19.6,8.099,6.955
∗2549,00 32 23.71,+21 46 41.5,8.099,21.778
2550,00 32 25.21,-24 52 34.4,8.105,-24.876
2551,00 32 26.11,-32 03 24.2,8.109,-32.057
∗2552,00 32 26.81,+67 14 10.4,8.112,67.236
∗2553,00 32 26.79,+43 29 41.3,8.112,43.495
2554,00 32 27.48,-38 16 39.6,8.114,-38.278
2555,00 32 28.03,-60 40 22.1,8.117,-60.673
2556,00 32 28.54,-68 00 27.5,8.119,-68.008
2557,00 32 30.01,+51 43 41.7,8.125,51.728
2558,00 32 30.64,-44 03 57.5,8.128,-44.066
2559,00 32 31.31,+10 29 12.0,8.13,10.487
2560,00 32 31.92,+18 47 42.3,8.133,18.795
2561,00 32 33.52,-28 44 59.2,8.14,-28.75
2562,00 32 33.68,+55 12 53.1,8.14,55.215
2563,00 32 33.93,+28 11 50.9,8.141,28.197
2564,00 32 34.35,+51 06 13.4,8.143,51.104
2565,00 32 34.57,+27 34 50.8,8.144,27.581
2566,00 32 35.09,-06 12 25.3,8.146,-6.207
2567,00 32 35.09,-18 06 33.0,8.146,-18.109
2568,00 32 35.40,+20 17 40.0,8.148,20.294
2569,00 32 36.85,-09 02 02.7,8.154,-9.034
2570,00 32 36.90,-27 58 57.7,8.154,-27.983
2571,00 32 38.25,-14 54 02.1,8.159,-14.901
2572,00 32 39.39,-25 21 34.5,8.164,-25.36
2573,00 32 39.47,+23 11 36.1,8.164,23.193
2574,00 32 40.92,-35 25 30.2,8.171,-35.425
∗2575,00 32 43.55,+78 06 42.0,8.181,78.112
∗2576,00 32 43.21,+38 50 37.8,8.18,38.844
2577,00 32 43.60,+24 44 01.5,8.182,24.734
2578,00 32 43.79,-63 01 53.0,8.182,-63.031
2579,00 32 44.08,-13 29 13.5,8.184,-13.487
2580,00 32 44.84,-39 19 33.4,8.187,-39.326
2581,00 32 47.46,+54 07 12.1,8.198,54.12
2582,00 32 48.27,+68 08 34.6,8.201,68.143
2583,00 32 49.09,+28 16 48.8,8.205,28.28
2584,00 32 49.10,-22 05 42.1,8.205,-22.095
2585,00 32 49.53,-00 26 44.3,8.206,-0.446
2586,00 32 50.00,-13 15 27.2,8.208,-13.258
2587,00 32 51.81,+35 51 28.7,8.216,35.858
2588,00 32 52.74,-34 10 12.3,8.22,-34.17
2589,00 32 53.20,-22 41 36.2,8.222,-22.693
2590,00 32 53.25,+11 46 22.9,8.222,11.773
2591,00 32 53.37,+57 11 05.6,8.222,57.185
2592,00 32 53.55,-68 09 40.9,8.223,-68.161
2593,00 32 53.77,+29 36 39.6,8.224,29.611
2594,00 32 54.07,+08 16 47.4,8.225,8.28
2595,00 32 55.79,+16 10 01.8,8.232,16.167
2596,00 32 58.92,+48 39 29.7,8.245,48.658
2597,00 32 59.34,+18 23 42.8,8.247,18.395
∗2598,00 32 59.99,-23 29 29.7,8.25,-23.492
∗2599,00 32 59.99,+62 55 54.4,8.25,62.932
2600,00 33 01.23,+44 43 48.7,8.255,44.73
2601,00 33 02.49,-29 04 27.2,8.26,-29.074
2602,00 33 03.29,+50 29 34.7,8.264,50.493
2603,00 33 03.38,+33 50 46.0,8.264,33.846
2604,00 33 05.31,+42 00 04.0,8.272,42.001
2605,00 33 06.04,-36 55 38.2,8.275,-36.927
2606,00 33 06.14,+52 41 36.0,8.276,52.693
2607,00 33 07.34,-39 45 34.7,8.281,-39.76
2608,00 33 07.47,-09 59 16.7,8.281,-9.988
2609,00 33 08.30,+07 35 08.2,8.285,7.586
2610,00 33 09.21,-54 09 16.3,8.288,-54.155
2611,00 33 10.32,+54 53 42.3,8.293,54.895
2612,00 33 11.30,-03 50 52.3,8.297,-3.848
2613,00 33 11.61,+51 40 07.0,8.298,51.669
2614,00 33 11.69,-63 54 29.7,8.299,-63.908
∗2615,00 33 12.04,-78 39 54.5,8.3,-78.665
∗2616,00 33 11.82,-46 57 06.4,8.299,-46.952
2617,00 33 14.06,-30 56 20.4,8.309,-30.939
2618,00 33 14.30,-10 43 42.7,8.31,-10.729
2619,00 33 14.80,-18 01 04.3,8.312,-18.018
2620,00 33 14.96,+53 58 23.8,8.312,53.973
2621,00 33 15.93,+17 57 33.7,8.316,17.959
2622,00 33 16.85,-24 17 29.4,8.32,-24.292
2623,00 33 16.97,-21 51 14.5,8.321,-21.854
2624,00 33 17.05,+56 32 37.5,8.321,56.544
2625,00 33 18.27,+37 10 58.5,8.326,37.183
2626,00 33 18.39,+13 50 26.2,8.327,13.841
2627,00 33 19.14,-19 29 50.4,8.33,-19.497
2628,00 33 19.20,+70 58 54.7,8.33,70.982
2629,00 33 23.23,-71 15 58.4,8.347,-71.266
2630,00 33 23.71,-58 48 32.8,8.349,-58.809
2631,00 33 23.82,-40 43 42.9,8.349,-40.729
2632,00 33 24.96,-04 02 37.7,8.354,-4.044
2633,00 33 25.63,-53 11 45.9,8.357,-53.196
2634,00 33 26.55,-16 27 59.9,8.361,-16.467
2635,00 33 26.68,+47 38 58.1,8.361,47.649
2636,00 33 27.41,-66 45 52.7,8.364,-66.765
2637,00 33 27.46,+33 05 35.9,8.364,33.093
2638,00 33 27.70,-36 47 19.9,8.365,-36.789
2639,00 33 28.00,+09 09 11.5,8.367,9.153
2640,00 33 28.81,+09 46 16.5,8.37,9.771
2641,00 33 29.15,-00 36 31.5,8.371,-0.609
2642,00 33 29.70,-55 19 42.0,8.374,-55.328
2643,00 33 29.97,+40 06 20.2,8.375,40.106
2644,00 33 30.39,+62 30 40.2,8.377,62.511
2645,00 33 32.37,-38 06 48.0,8.385,-38.113
2646,00 33 32.47,-61 08 50.1,8.385,-61.147
2647,00 33 34.54,+60 32 55.2,8.394,60.549
2648,00 33 34.75,+13 13 14.0,8.395,13.221
2649,00 33 36.35,-26 05 30.5,8.401,-26.092
2650,00 33 36.51,-38 41 08.7,8.402,-38.686
2651,00 33 36.82,+39 53 03.3,8.403,39.884
2652,00 33 37.07,-35 10 02.9,8.404,-35.167
2653,00 33 37.69,-26 05 20.2,8.407,-26.089
2654,00 33 38.09,-02 44 06.8,8.409,-2.735
2655,00 33 38.30,-15 29 14.3,8.41,-15.487
2656,00 33 39.43,+62 47 19.8,8.414,62.789
∗2657,00 33 39.68,+62 47 32.7,8.415,62.792
∗2658,00 33 39.53,+20 26 01.7,8.415,20.434
2659,00 33 40.89,+04 56 52.2,8.42,4.948
2660,00 33 41.05,-18 06 55.1,8.421,-18.115
2661,00 33 41.06,-29 33 29.5,8.421,-29.558
2662,00 33 43.78,-67 24 32.2,8.432,-67.409
2663,00 33 43.85,-35 00 03.0,8.433,-35.001
2664,00 33 46.70,+74 29 38.3,8.445,74.494
2665,00 33 47.99,-39 55 28.6,8.45,-39.925
2666,00 33 48.62,+32 51 58.3,8.453,32.866
2667,00 33 48.89,+58 12 55.3,8.454,58.215
2668,00 33 48.91,+43 40 00.1,8.454,43.667
2669,00 33 49.07,+52 51 56.7,8.454,52.866
2670,00 33 50.69,-40 25 50.0,8.461,-40.431
2671,00 33 51.34,+11 04 11.0,8.464,11.07
2672,00 33 52.21,+25 26 53.0,8.468,25.448
2673,00 33 52.90,-39 14 43.9,8.47,-39.246
2674,00 33 52.99,-33 24 41.9,8.471,-33.412
2675,00 33 53.21,+81 46 15.5,8.472,81.771
2676,00 33 53.63,-27 36 50.9,8.473,-27.614
2677,00 33 54.24,+03 19 11.7,8.476,3.32
2678,00 33 56.69,+18 47 17.5,8.486,18.788
2679,00 33 56.94,+65 31 49.6,8.487,65.53
2680,00 33 57.69,+02 00 54.5,8.49,2.015
2681,00 33 58.62,+42 05 18.4,8.494,42.088
2682,00 33 59.94,-57 05 06.6,8.5,-57.085
2683,00 34 00.20,-30 19 21.5,8.501,-30.323
