objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648721252190819,756,301,3,756,2659,6,229.002679806067,-0.0649988428498083,22.74942,22.03691,21.61359,21.38357,21.54435,0.2711836,0.07089756,0.07450958,0.09126882,0.3908506
1237648721252190826,756,301,3,756,2666,6,229.005033393479,-0.0597470558791419,23.7647,22.51467,22.20468,21.99434,21.67568,0.5720303,0.1060767,0.12519,0.1563464,0.434222
1237648721252190046,756,301,3,756,1886,6,229.008910493985,-0.0597169343025999,24.05665,22.18886,21.74656,21.61424,22.31855,0.6637176,0.08044505,0.08399435,0.1122221,0.6250599
1237648721252190069,756,301,3,756,1909,6,229.014887921354,-0.0595112535789476,21.69749,20.77906,20.44278,20.31183,20.24812,0.1120753,0.02589711,0.02764756,0.03537287,0.127381
1237648721252189160,756,301,3,756,1000,6,229.006884564594,-0.0682643309004677,24.11997,22.69082,22.08969,22.19804,21.72412,0.6331745,0.1143975,0.105214,0.1722073,0.4136575
1237648721252190841,756,301,3,756,2681,3,229.0082040442,-0.0707211706171405,23.19521,22.38361,22.15111,22.25289,21.24842,0.4490166,0.1106651,0.1421805,0.2352573,0.3762627
1237648721252189204,756,301,3,756,1044,3,229.0133155418,-0.0697951898294885,24.00484,22.64981,21.24154,20.723,22.54448,1.315145,0.2663821,0.1098455,0.1080927,1.446139
1237648721252191313,756,301,3,756,3153,6,229.011456596541,-0.0648892837922845,24.4138,23.8875,22.32177,21.77315,21.60185,0.6844528,0.298792,0.1281694,0.1186666,0.3778556
1237648721252189199,756,301,3,756,1039,6,229.010532040589,-0.0697398688317397,21.75621,20.65067,20.3141,20.1796,20.12545,0.115612,0.02342303,0.02475075,0.03131602,0.1124719
1237648721252189206,756,301,3,756,1046,3,229.011467435911,-0.0687030666849648,24.11741,21.80445,21.44191,21.23888,20.52239,0.9305845,0.07810778,0.08860325,0.1165641,0.2398767
1237648721252188654,756,301,3,756,494,3,229.023015161912,-0.0698838889820749,24.52547,25.52344,25.15089,23.00263,22.62771,0.8360165,0.5463591,0.706627,0.4061165,0.7930313
1237648721252188648,756,301,3,756,488,3,229.025314880218,-0.0711435609015919,23.29512,23.64283,21.86016,22.9893,22.81431,0.4827981,0.31341,0.1085834,0.419515,0.8114911
1237648721252188650,756,301,3,756,490,6,229.019165380329,-0.0638582741100582,25.15191,23.05745,22.23935,22.03752,22.54466,0.6183789,0.1571045,0.1209555,0.1520148,0.6231859
1237648721252188646,756,301,3,756,486,6,229.020550482194,-0.0641375394341969,24.59505,23.9423,22.77823,21.93831,21.01037,0.7379949,0.3408483,0.2061455,0.1491823,0.2585073
1237648721252188653,756,301,3,756,493,3,229.021030712375,-0.0696499109577528,24.84726,23.47094,22.98933,22.4774,22.92232,0.6979014,0.2252629,0.2351717,0.2262671,0.6571845
1237648721252188647,756,301,3,756,487,3,229.019507457541,-0.0684421245701151,24.23096,23.6586,23.29667,21.99066,22.31723,1.025658,0.2540036,0.2916857,0.168722,0.6975386
1237648721252188644,756,301,3,756,484,3,229.019465223424,-0.0712938394924845,25.00694,20.65195,20.10273,20.7933,21.95591,2.495677,0.06922068,0.06699196,0.196694,1.952909
1237648721252188634,756,301,3,756,474,6,229.022508246882,-0.0660756223509306,15.19869,15.32477,14.7669,13.13909,13.16671,0.00495249,0.01149819,0.01079061,0.002870861,0.004693776
1237648721252189209,756,301,3,756,1049,6,229.017276516227,-0.0696697355545695,23.7092,23.51485,23.18442,22.50725,22.18671,0.5253108,0.2275673,0.2672884,0.2268486,0.5448589
1237648721252189202,756,301,3,756,1042,3,229.016079202698,-0.0701571020724585,22.41741,21.10495,20.53348,20.24987,20.1969,0.2927232,0.04614552,0.0427638,0.05040412,0.1916415
1237648721252190876,756,301,3,756,2716,6,229.016432695914,-0.0677661252381524,23.23232,22.38374,21.83789,21.72876,21.67739,0.3845792,0.09172819,0.08775786,0.1192169,0.4169297
1237648721252188651,756,301,3,756,491,6,229.018895002894,-0.0625244907859786,25.56967,22.76572,22.32052,22.0901,22.14617,0.4854781,0.1243454,0.130593,0.1594396,0.541522
1237648721252190071,756,301,3,756,1911,6,229.015231352455,-0.0605155275484119,23.8245,22.10068,21.74278,21.75422,22.16545,0.5651838,0.07185148,0.0796819,0.1193627,0.549517
1237648721252188639,756,301,3,756,479,3,229.017454968939,-0.0642677210454714,25.16549,21.43147,20.59959,20.26054,20.5026,0.8657614,0.05612574,0.04171359,0.04729159,0.2331917
