,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
112,18273,03 54 33.35,+25 31 56.9,10.79,0.0101,0.7490000000000001,0.79,99.00990099009901,5.811606868913213
113,18296,03 54 44.58,+23 12 05.8,7.95,0.00325,0.048,0.06,307.6923076923077,0.5094168048943724
114,18330,03 55 06.92,+27 03 52.5,8.06,0.00249,1.048,1.02,401.60642570281124,0.04099673547868399
115,18346,03 55 19.40,+23 21 37.5,8.4,0.00861,1.01,0.99,116.14401858304298,3.0750157572682735
116,18405,03 56 06.52,+20 46 18.2,7.88,0.006730000000000001,1.008,0.98,148.58841010401187,2.020075321119884
117,18431,03 56 28.11,+23 09 01.4,8.34,0.00866,0.26899999999999996,0.3,115.47344110854505,3.027589460086734
118,18433,03 56 28.62,+22 40 29.9,7.84,0.02141,0.688,0.75,46.70714619336759,4.493083336472193
119,18439,03 56 31.17,+26 44 34.6,8.76,0.00611,0.501,0.57,163.66612111292963,2.6902060512127726
120,18459,03 56 39.70,+21 57 27.8,9.53,0.0067800000000000004,0.469,0.54,147.49262536873155,3.6861484693353184
121,18471,03 56 52.03,+22 28 41.7,5.62,0.02231,0.345,0.4,44.82294935006723,2.3624978514191897
122,18485,03 57 03.80,+23 10 32.1,6.05,0.00614,0.031,0.05,162.86644951140067,-0.009158144294160842
123,18490,03 57 11.29,+21 19 24.9,6.84,0.00801,1.03,1.0,124.84394506866417,1.3581625804211903
124,18491,03 57 11.82,+25 16 58.1,7.5,0.00398,1.022,1.0,251.25628140703517,0.4994153603684399
125,18502,03 57 23.76,+21 33 13.6,8.96,0.00884,0.625,0.69,113.12217194570135,3.692261325065367
126,18508,03 57 26.39,+24 27 43.0,6.19,0.00304,1.3719999999999999,1.2,328.9473684210526,-1.3956320819562302
127,18531,03 57 47.20,+22 55 27.7,8.78,0.027719999999999998,,,36.075036075036074,5.993966129698846
128,18544,03 58 01.68,+20 40 36.9,9.4,0.00968,0.518,0.59,103.30578512396694,4.329376786541971
129,18559,03 58 20.89,+24 04 52.4,7.21,0.00508,0.035,0.05,196.85039370078738,0.739318561419597
130,18620,03 59 03.44,+23 37 41.1,7.36,0.00756,1.067,1.03,132.27513227513228,1.7526089775060347
131,18621,03 59 05.45,+27 11 50.9,7.44,0.00495,0.14,0.15,202.020202020202,0.9130259946678452
132,18623,03 59 05.98,+25 17 33.5,12.26,0.01591,2.9,2.94,62.853551225644246,8.268350898232908
133,18625,03 59 09.43,+22 59 18.3,8.7,0.015009999999999999,0.556,0.63,66.62225183211193,4.581903461216351
134,18629,03 59 14.02,+25 12 57.4,8.29,5.9999999999999995e-05,1.4480000000000002,1.45,16666.666666666668,-7.819243748081782
135,18630,03 59 14.26,+26 14 20.9,11.16,0.0029500000000000004,,,338.9830508474576,3.5091100798908172
136,18620,03 59 03.44,+23 37 41.1,7.36,0.00756,1.067,1.03,132.27513227513228,1.7526089775060347
137,18621,03 59 05.45,+27 11 50.9,7.44,0.00495,0.14,0.15,202.020202020202,0.9130259946678452
138,18623,03 59 05.98,+25 17 33.5,12.26,0.01591,2.9,2.94,62.853551225644246,8.268350898232908
139,18625,03 59 09.43,+22 59 18.3,8.7,0.015009999999999999,0.556,0.63,66.62225183211193,4.581903461216351
140,18629,03 59 14.02,+25 12 57.4,8.29,5.9999999999999995e-05,1.4480000000000002,1.45,16666.666666666668,-7.819243748081782
141,18630,03 59 14.26,+26 14 20.9,11.16,0.0029500000000000004,,,338.9830508474576,3.5091100798908172
142,18684,04 00 03.74,+21 22 13.2,9.98,0.00109,0.434,0.5,917.4311926605504,0.16713248970312122
143,18696,04 00 19.26,+23 32 03.5,10.45,0.0038,1.5,1.47,263.1578947368421,3.3489179830840516
144,18748,04 00 56.81,+23 12 05.7,6.52,0.0030099999999999997,0.10300000000000001,0.12,332.2259136212625,-1.0871675220307822
