objid,ra,dec,u,g,r,i,z
1237648721252189396,229.047046855645,-0.111622454758361,21.40798,20.19326,19.62919,19.38288,19.35572
1237648721252189399,229.045871149629,-0.107674034204064,21.90931,20.86374,20.5516,20.42355,20.32893
1237648721252189403,229.046298811319,-0.108244412877929,24.09521,22.79149,22.39178,21.5376,22.23621
1237648721252189402,229.046909525673,-0.109384839449386,22.67447,24.52501,24.76328,22.37465,22.36123
1237648721252189405,229.044785143941,-0.109851946715327,24.51808,24.67551,24.35515,22.17185,21.52094
1237648721252189406,229.044895523285,-0.109278003523064,24.95144,23.1999,22.48634,22.49849,21.78502
1237648721252189400,229.050317884391,-0.11441608010823,24.3289,22.24034,21.11977,20.63622,20.36908
1237648721252190222,229.04786935006,-0.114812178831845,21.87577,20.79816,20.48523,20.36479,20.41176
1237648721252189648,229.051777230281,-0.107761139654019,22.42647,21.55959,21.44233,23.03867,22.08751
1237648721252189407,229.049547583061,-0.109685098941757,24.85572,23.02639,22.57189,22.94255,22.69596
1237648721252189404,229.048689194123,-0.108677415851692,23.95895,22.38465,21.8663,21.6926,21.50804
1237648721252189408,229.04746989818,-0.112765280414709,24.55497,23.17226,24.18963,22.676,22.33331
1237648721252189398,229.049623225461,-0.112511031525553,23.77613,23.10859,21.72805,20.16809,19.56889
1237648721252189401,229.048674465222,-0.110871584044259,24.03748,21.68839,21.31393,21.15009,20.93582
1237648721252190287,229.058342357085,-0.143752684841208,22.22923,21.2422,20.89557,20.81804,20.70658
1237648721252190284,229.059617319274,-0.132199991443498,22.12571,21.05225,20.73307,20.63096,20.55828
1237648721252190300,229.059009956341,-0.137638553822209,24.05544,22.07758,21.66744,21.43077,22.11741
1237648721252190299,229.059994869103,-0.137637787918429,22.06254,21.26522,20.99581,20.84437,21.13404
1237648721252190320,229.06108677213,-0.124842011763185,22.26874,21.24844,20.89149,20.76232,20.29243
1237648721252190306,229.060509000625,-0.12971390882314,22.10868,21.25302,20.84665,20.62837,20.76432
1237648721252190308,229.062700218877,-0.129661496143607,23.74834,22.76181,22.68991,22.10996,21.79753
1237648721252190307,229.060839561611,-0.128769418197896,23.84294,22.01824,21.71843,21.57619,21.43805
1237648721252190344,229.066259643013,-0.12812091570008,21.67572,20.69104,20.25242,20.14008,20.24678
1237648721252190349,229.065593375759,-0.130087434771548,23.61946,22.99442,22.59616,22.40421,21.56441
1237648721252190309,229.063569905395,-0.129379886724336,24.89014,23.03285,22.40971,22.48244,22.01386
1237648721252190346,229.064920831096,-0.12696246512383,23.04574,22.31097,22.04539,22.07826,21.37147
1237648721252190347,229.06271147163,-0.127508607895282,23.37673,22.38438,21.92155,21.55463,21.89069
1237648721252189602,229.06169407858,-0.13337339970383,21.82115,21.23845,20.89888,20.79169,20.65724
1237648721252189475,229.06315746336,-0.136329819659243,22.07453,20.88705,20.53134,20.44986,20.81097
1237648721252189601,229.063026013493,-0.133745711771551,24.36781,20.82773,19.42855,18.80441,18.4249
