,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
0,15323,03 17 40.12,+31 07 37.9,6.4,0.03686,0.574,0.65,27.12967986977754,4.232776654415276
1,15332,03 17 44.73,+25 15 09.5,11.84,0.04729,1.46,1.85,21.14611968703743,10.213846570077132
2,15341,03 17 49.74,+22 49 56.3,7.64,0.0085,0.267,0.3,117.6470588235294,2.287094628571464
3,15348,03 17 54.20,+29 26 48.6,8.79,0.00737,0.856,0.87,135.68521031207598,3.127337439295257
4,15361,03 18 04.19,+24 52 38.6,7.82,0.0037,0.446,0.52,270.27027027027026,0.661008620334977
5,15380,03 18 19.95,+24 04 54.8,7.25,0.00645,1.178,1.14,155.03875968992247,1.2977985731763404
6,15381,03 18 20.03,+18 10 18.8,7.52,0.019190000000000002,0.642,0.71,52.11047420531526,3.9353748736773575
7,15385,03 18 23.30,+31 02 10.4,8.11,0.00055,0.19699999999999998,0.22,1818.181818181818,-3.18818655252878
8,15393,03 18 26.78,+28 42 48.7,8.64,0.006030000000000001,0.34299999999999997,0.4,165.83747927031507,2.5415865607007593
9,15412,03 18 41.23,+18 28 22.7,8.7,0.015519999999999999,0.71,0.76,64.43298969072166,4.654458584610849
10,15487,03 19 37.58,+27 32 33.3,7.91,0.00442,0.16899999999999998,0.18,226.2443438914027,1.1371113467454617
11,15506,03 19 47.76,+19 04 34.6,7.43,0.004200000000000001,-0.047,-0.03,238.09523809523807,0.5462464519895018
12,15509,03 19 52.21,+20 16 37.9,8.35,0.0045,0.27,0.3,222.22222222222223,1.6160625688767194
13,15512,03 19 55.44,+25 36 53.8,9.56,0.00271,1.4480000000000002,1.82,369.00369003690037,1.7248464543720292
14,15513,03 19 55.66,+21 30 59.4,8.76,0.00348,0.655,0.72,287.35632183908046,1.4678962197329053
15,15514,03 19 55.81,+27 04 16.7,5.91,0.015880000000000002,0.86,0.88,62.97229219143576,1.9142524904553895
16,15519,03 19 59.22,+17 30 03.1,7.77,0.00724,0.335,0.39,138.12154696132598,2.0686928309857358
17,15549,03 20 20.37,+29 02 54.6,4.47,0.00509,1.555,1.61,196.46365422396858,-1.996411088316207
18,15550,03 20 20.63,+19 43 49.4,7.6,0.00714,0.188,0.21,140.0560224089636,1.8684910588808723
19,15552,03 20 21.23,+23 41 21.9,7.46,0.0077599999999999995,0.27899999999999997,0.32,128.8659793814433,1.909308606290943
20,15555,03 20 23.32,+19 52 21.8,6.9,0.00542,1.2229999999999999,1.18,184.50184501845018,0.5699964326919353
21,15557,03 20 25.57,+25 39 46.7,6.14,0.01129,1.2409999999999999,1.2,88.57395925597875,1.4034697096248392
