,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
98,16423,03 31 28.33,+21 49 19.3,8.88,,0.391,0.46,,
99,16428,03 31 31.16,+22 30 21.0,9.49,,0.302,0.35,,
100,16429,03 31 31.68,+25 43 17.7,9.09,,0.20199999999999999,0.22,,
101,16431,03 31 33.61,+26 15 56.0,10.75,,0.6809999999999999,0.74,,
102,16440,03 31 42.40,+23 38 58.0,8.07,,0.47600000000000003,0.55,,
103,16441,03 31 43.80,+18 48 00.6,8.16,,0.131,0.15,,
104,16474,03 32 09.73,+30 00 21.9,7.88,,0.261,0.29,,
105,16505,03 32 27.17,+20 10 31.9,8.42,,1.672,1.7,,
106,16508,03 32 32.97,+26 44 48.3,10.08,,0.835,0.88,,
107,16512,03 32 36.72,+17 16 08.7,9.8,,0.446,0.52,,
108,16513,03 32 37.74,+28 21 57.0,8.57,,1.63,1.65,,
109,16529,03 32 49.98,+23 41 32.2,8.88,,0.8440000000000001,0.89,,
110,16551,03 33 07.70,+19 23 00.0,8.07,,0.081,0.09,,
111,16598,03 33 38.96,+17 19 45.5,8.49,,0.5770000000000001,0.65,,
112,16613,03 33 48.46,+18 13 40.1,7.99,,1.062,1.03,,
113,16618,03 33 49.29,+21 01 10.6,10.28,,1.551,2.13,,
114,16635,03 34 01.79,+24 52 51.6,10.87,,0.7040000000000001,0.75,,
115,16639,03 34 07.30,+24 20 40.4,9.54,,0.51,0.58,,
116,16641,03 34 08.32,+17 50 00.9,6.14,,0.8909999999999999,0.91,,
117,16643,03 34 08.75,+21 43 44.4,9.22,,0.34700000000000003,0.41,,
118,16659,03 34 20.21,+23 09 00.4,9.76,,1.15,1.11,,
119,16662,03 34 25.32,+20 22 26.8,8.14,,1.7309999999999999,1.76,,
120,16664,03 34 26.62,+24 27 52.1,5.95,,0.12300000000000001,0.14,,
121,16668,03 34 30.29,+22 45 34.1,8.22,,1.249,1.21,,
122,16669,03 34 31.18,+29 33 55.1,10.23,,0.503,0.58,,
123,16674,03 34 34.93,+18 52 26.2,9.24,,0.71,0.76,,
124,16701,03 34 56.52,+19 48 36.7,8.7,,1.744,1.77,,
125,16703,03 34 57.44,+21 01 03.6,8.6,,1.429,1.42,,
126,16704,03 34 57.55,+26 36 29.8,8.4,,0.336,0.39,,
127,16705,03 34 57.89,+29 18 48.0,8.94,,0.20600000000000002,0.23,,
128,16706,03 34 58.50,+17 42 38.4,9.85,,0.7,0.7,,
129,16707,03 34 58.47,+19 18 46.2,9.18,,0.434,0.5,,
130,16718,03 35 06.07,+27 56 53.1,9.79,,0.439,0.51,,
131,16737,03 35 18.37,+18 54 11.4,7.57,,1.73,2.12,,
132,16740,03 35 20.40,+26 51 00.7,8.56,,0.7,0.51,,
133,16740,03 35 20.40,+26 51 00.7,8.56,,0.7,0.51,,
134,16753,03 35 31.68,+22 49 25.3,9.86,,0.54,0.61,,
135,16784,03 35 59.99,+23 54 50.9,9.02,,1.337,1.3,,
136,16791,03 36 04.87,+27 35 35.5,7.39,,1.092,1.05,,
137,16795,03 36 11.34,+29 59 00.1,7.62,,0.177,0.19,,
138,16802,03 36 16.67,+17 48 43.5,8.6,,0.321,0.37,,
139,16805,03 36 19.66,+25 23 56.5,9.27,,0.405,0.47,,
140,16806,03 36 19.82,+28 57 41.1,8.16,,0.461,0.53,,
141,16808,03 36 21.46,+19 33 33.8,8.36,,0.27399999999999997,0.31,,
142,16811,03 36 23.23,+18 21 43.2,8.73,,1.088,1.05,,
143,16813,03 36 24.28,+20 04 03.8,7.47,,0.502,0.57,,
144,16824,03 36 28.77,+23 47 51.2,8.62,,0.669,0.73,,
145,16828,03 36 30.24,+21 46 48.7,8.89,,1.054,1.02,,
146,16835,03 36 39.79,+29 13 26.6,6.53,,0.271,0.31,,
147,16859,03 36 58.03,+23 12 40.0,6.72,,0.12300000000000001,0.14,,
148,16879,03 37 10.88,+25 59 30.3,7.28,,0.7040000000000001,0.75,,
149,16896,03 37 22.60,+18 35 48.8,8.73,,0.518,0.59,,
150,16905,03 37 32.77,+28 26 30.5,9.16,,0.494,0.57,,
151,16908,03 37 34.89,+21 20 35.7,9.35,,0.917,0.96,,
152,16944,03 38 03.07,+18 28 51.6,9.91,,0.5,0.57,,
153,16950,03 38 04.84,+20 14 02.3,9.45,,0.7559999999999999,0.8,,
154,16961,03 38 10.92,+19 21 37.6,7.72,,0.384,0.45,,
