,hip,ra,dec,vmag,parallax,b-v,v-i,distance,absmag
374,18823,04 02 03.06,+17 17 50.6,9.44,,0.802,0.83,,
375,18833,04 02 15.32,+22 25 20.8,7.82,,0.456,0.53,,
376,18849,04 02 28.58,+18 03 41.7,10.03,,0.486,0.56,,
377,18868,04 02 41.81,+25 55 17.3,8.16,,0.138,0.15,,
378,18892,04 02 58.92,+28 27 21.2,8.82,,0.48700000000000004,0.56,,
379,18909,04 03 10.19,+18 40 07.6,9.0,,0.647,0.71,,
380,18943,04 03 37.30,+24 56 46.7,8.69,,0.584,0.66,,
381,18946,04 03 38.96,+19 27 18.3,10.12,,1.095,1.17,,
382,18955,04 03 44.16,+22 56 39.8,9.68,,0.57,0.64,,
383,18965,04 03 50.66,+29 11 52.9,8.18,,0.8340000000000001,0.85,,
384,18972,04 03 54.32,+28 07 33.7,8.05,,0.079,0.09,,
385,18976,04 03 58.04,+21 04 15.4,8.02,,0.28,0.32,,
386,18995,04 04 10.95,+23 24 28.1,8.2,,0.657,0.72,,
387,18996,04 04 11.96,+25 23 57.1,8.62,,1.7990000000000002,2.32,,
388,19002,04 04 18.72,+20 40 45.2,9.09,,0.11699999999999999,0.13,,
389,19009,04 04 21.67,+24 06 21.7,5.46,,0.813,0.84,,
390,19033,04 04 38.46,+30 53 03.1,9.19,,0.418,0.48,,
391,19036,04 04 39.62,+17 31 03.3,6.64,,1.1179999999999999,1.08,,
392,19038,04 04 41.66,+22 04 55.4,4.36,,1.064,1.02,,
393,19050,04 04 53.36,+23 14 10.7,10.71,,1.28,1.25,,
394,19054,04 04 56.52,+20 51 23.8,8.94,,0.821,0.84,,
395,19068,04 05 12.25,+27 36 35.2,7.94,,0.13699999999999998,0.15,,
396,19072,04 05 15.38,+23 47 50.1,8.26,,0.498,0.57,,
397,19075,04 05 19.82,+22 03 28.0,7.94,,0.726,1.53,,
398,19076,04 05 20.15,+22 00 33.2,5.9,,0.62,0.7,,
399,19078,04 05 24.02,+23 10 07.2,8.31,,1.192,1.15,,
400,19082,04 05 25.60,+19 26 32.0,11.41,,1.347,1.57,,
401,19093,04 05 36.75,+19 57 18.0,8.29,,0.41,0.48,,
402,19097,04 05 39.18,+28 23 43.4,9.17,,0.3,0.23,,
403,19098,04 05 39.60,+17 56 16.0,9.31,,0.89,0.93,,
404,19136,04 06 04.57,+26 12 42.7,7.55,,0.5429999999999999,0.62,,
405,19137,04 06 04.69,+24 43 55.7,8.75,,2.0069999999999997,1.93,,
406,19146,04 06 11.85,+20 40 05.8,8.32,,1.579,1.6,,
407,19163,04 06 34.10,+21 57 23.4,7.89,,1.71,1.69,,
408,19171,04 06 36.40,+27 36 00.1,5.18,,-0.124,-0.11,,
409,19175,04 06 37.37,+19 09 09.9,7.48,,0.379,0.44,,
410,19176,04 06 38.80,+20 18 11.3,9.57,,0.6990000000000001,0.76,,
411,19182,04 06 41.42,+25 43 19.7,7.99,,0.193,0.21,,
412,19186,04 06 43.74,+27 31 19.8,7.85,,1.0,1.32,,
413,19187,04 06 44.25,+17 39 48.6,8.44,,0.502,0.57,,
414,19197,04 06 52.16,+30 16 24.2,7.57,,1.54,1.59,,
415,19205,04 07 00.52,+29 00 04.6,5.21,,0.359,0.42,,
416,19216,04 07 08.46,+21 15 46.5,8.76,,1.21,1.17,,
417,19219,04 07 09.93,+27 30 33.9,8.55,,0.6859999999999999,0.74,,
418,19262,04 07 43.00,+21 15 45.9,9.18,,0.63,0.7,,
419,19284,04 07 59.41,+17 20 23.7,5.89,,1.4969999999999999,1.5,,
420,19296,04 08 11.82,+26 35 53.7,10.96,,1.5,3.2,,
421,19299,04 08 14.25,+22 01 16.5,8.88,,0.475,0.55,,
422,19308,04 08 20.65,+19 44 15.6,7.69,,0.5,0.34,,
423,19332,04 08 33.87,+26 50 35.0,11.0,,1.5,3.92,,
424,19341,04 08 39.02,+25 52 40.0,7.2,,1.393,1.37,,
425,19358,04 08 49.49,+17 17 30.3,7.64,,0.156,0.17,,
426,19361,04 08 51.72,+23 52 16.2,6.97,,1.143,1.11,,
427,19363,04 08 53.50,+23 05 55.1,6.87,,0.306,0.35,,
428,19365,04 08 54.31,+29 11 26.7,8.27,,0.637,0.7,,
429,19367,04 08 55.37,+20 23 10.0,9.37,,0.5870000000000001,0.66,,
430,19382,04 09 07.44,+27 06 56.2,8.74,,0.479,0.55,,
431,19385,04 09 08.56,+28 38 35.0,8.21,,0.5,0.57,,
432,19388,04 09 09.90,+19 36 33.5,5.51,,1.077,1.05,,
433,19395,04 09 16.99,+30 46 33.4,9.45,,0.5670000000000001,0.64,,
434,19397,04 09 17.72,+30 38 34.4,8.15,,1.499,1.53,,
435,19401,04 09 22.46,+17 09 43.9,9.09,,0.5670000000000001,0.64,,
436,19403,04 09 22.59,+18 54 24.4,8.63,,1.245,1.2,,
437,19417,04 09 29.09,+23 17 39.9,9.81,,0.528,0.6,,
438,19420,04 09 32.97,+17 29 57.9,9.11,,0.518,0.59,,
439,19436,04 09 43.68,+24 04 22.8,7.36,,0.20199999999999999,0.22,,
440,19459,04 10 02.06,+24 05 33.6,9.12,,0.7340000000000001,0.78,,
441,19464,04 10 04.99,+24 06 53.8,9.55,,,,,
442,19468,04 10 09.20,+25 11 44.0,9.92,,0.6509999999999999,0.71,,
443,19470,04 10 11.77,+18 28 28.3,8.95,,1.7480000000000002,1.77,,
444,19472,04 10 13.80,+17 22 07.7,9.07,,1.07,1.13,,
445,19477,04 10 18.25,+30 38 54.2,8.66,,1.485,1.5,,
446,19484,04 10 23.13,+22 50 02.2,9.83,,0.5379999999999999,0.61,,
447,19496,04 10 35.87,+25 21 45.2,9.14,,0.44,0.51,,
448,19504,04 10 42.29,+18 25 24.0,6.61,,0.42700000000000005,0.47,,
449,19513,04 10 49.88,+26 28 51.7,5.39,,0.35200000000000004,0.41,,
450,19542,04 11 08.50,+21 53 06.5,9.27,,0.5429999999999999,0.62,,
451,19549,04 11 13.08,+18 22 48.8,9.66,,0.537,0.61,,
452,19558,04 11 21.82,+22 03 40.1,8.52,,1.153,1.12,,
453,19560,04 11 23.13,+26 24 39.6,11.97,,,,,
454,19572,04 11 37.97,+29 49 49.6,8.27,,0.871,0.88,,
455,19583,04 11 48.94,+25 59 01.8,8.74,,0.9,0.64,,
456,19586,04 11 51.31,+24 25 51.2,8.93,,0.43799999999999994,0.51,,
457,19591,04 11 56.13,+23 38 11.3,9.38,,1.09,1.05,,
458,19592,04 11 56.19,+27 08 45.2,9.55,,1.13,1.09,,
459,19604,04 12 01.75,+24 34 05.7,8.17,,1.274,1.23,,
460,19615,04 12 11.32,+21 32 09.0,8.73,,0.6509999999999999,0.71,,
461,19616,04 12 12.71,+20 44 42.8,9.31,,0.5870000000000001,0.66,,
462,19629,04 12 21.32,+28 26 06.3,9.3,,0.51,0.58,,
463,19634,04 12 25.01,+23 34 28.7,7.16,,1.014,0.99,,
464,19637,04 12 29.07,+26 02 44.5,8.71,,0.43,0.5,,
465,19641,04 12 31.32,+17 16 39.0,6.09,,1.081,1.01,,
466,19651,04 12 38.15,+17 50 04.8,8.5,,1.43,1.42,,
467,19662,04 12 46.73,+23 31 15.0,7.7,,1.541,1.6,,
468,19665,04 12 47.86,+20 44 06.9,9.17,,0.479,0.55,,
469,19669,04 12 49.06,+19 32 19.7,7.79,,0.456,0.53,,
470,19672,04 12 51.25,+22 24 48.5,6.14,,0.171,0.19,,
471,19702,04 13 14.00,+22 57 31.7,9.05,,0.555,0.63,,
472,19715,04 13 24.44,+29 07 22.6,7.92,,1.879,2.96,,
473,19745,04 13 59.06,+22 42 29.1,8.19,,0.179,0.2,,
474,19762,04 14 12.92,+28 12 12.5,10.71,,1.079,1.04,,
475,19763,04 14 14.95,+18 53 38.5,8.14,,0.374,0.44,,
476,19772,04 14 20.94,+19 34 47.2,8.18,,0.5429999999999999,0.62,,
477,19785,04 14 26.42,+23 41 47.2,6.77,,1.133,1.1,,
478,19789,04 14 30.36,+22 27 07.0,7.05,,0.424,0.49,,
479,19792,04 14 31.64,+27 57 35.3,8.41,,0.38799999999999996,0.45,,
480,19793,04 14 32.24,+23 34 30.2,8.05,,0.657,0.7,,
481,19797,04 14 35.25,+22 21 06.9,9.23,,0.36200000000000004,0.42,,
482,19803,04 14 47.00,+26 28 15.3,9.82,,0.474,0.55,,
483,19819,04 14 59.85,+30 50 12.6,9.04,,0.168,0.18,,
484,19829,04 15 06.30,+24 18 36.7,8.86,,0.306,0.35,,
485,19835,04 15 10.30,+29 54 08.9,7.11,,1.07,1.13,,
486,19847,04 15 17.42,+18 37 31.4,9.3,,0.49700000000000005,0.57,,
