"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2019 BU3)","4","29.1","2.6 - 12","7","8.770, 394","11.974, 106","60141","none","none","none","bK19B03U"
"(2019 KJ4)","6","27.4","5.8 - 26","7","7.861, 418","11.733, 90","60137","? 2045-04 [21.2] ?","none","none","bK19K04J"
"(2006 DX)","14","23.9","29 - 129","0","7.171, 362","11.936, 130","59542","2022-04 [23.1]","none","none","bK06D00X"
"(2006 HC)","10","25.4","14 - 65","7","7.055, 370","11.998, 162","59418","? 2026-10 [23.5] ?","none","none","bK06H00C"
"(2008 FO)","18","23.2","40 - 178","6","8.269, 322","11.991, 146","58779","2026-03 [22.4]","2043-11 [380]","none","bK08F00O"
"(2020 DN4)","1","27.8","4.7 - 21","7","7.517, 346","11.937, 162","58637","2020-03 [22.1]","none","none","bK20D04N"
"(2012 UE34)","22","23.3","38 - 170","0","7.105, 370","11.983, 82","58546","2020-03 [23.9]","2034-04 [25]","2041-04 [5.3e7]","bK12U34E"
"(2019 WN2)","2","27.5","5.5 - 25","7","7.529, 394","11.988, 42","58199","? 2038-10 [19.5] ?","none","none","bK19W02N"
"(2017 MA5)","5","25.7","13 - 56","7","8.797, 402","11.980, 266","57960","? 2034-03 [23.8] ?","none","none","bK17M05A"
"(2014 KO62)","12","26.2","10 - 45","6","7.456, 370","11.926, 146","57940","? 2044-11 [23.7] ?","none","none","bK14K62O"
"(2012 MY2)","27","26.4","9.1 - 41","4","8.578, 450","11.786, 170","57779","none","none","none","bK12M02Y"
"(1998 XN17)","13","22.8","48 - 214","2","9.236, 402","11.989, 250","57773","2032-11 [23.6]","2035-12 [31]","none","bJ98X17N"
"(2016 EQ85)","3","27.6","5.3 - 23","7","8.260, 362","11.920, 242","57742","none","none","none","bK16E85Q"
"(2012 FX35)","8","25.8","12 - 54","6","7.111, 362","11.823, 122","57643","? 2022-02 [21.2] ?","none","none","bK12F35X"
"98943 (2001 CC21)","124","18.5","347 - 1552","0","8.989, 450","11.983, 330","57500","2020-09 [19.6]","2022-02 [28]","2044-03 [27]","a0098943"
"(2019 GK20)","8","24.7","20 - 89","4","8.225, 402","11.864, 170","57491","2035-01 [22.5]","none","none","bK19G20K"
"(2006 HZ5)","15","24.5","22 - 98","6","8.465, 362","11.863, 106","56964","2035-04 [22.8]","none","none","bK06H05Z"
"(2019 VV)","17","25.3","15 - 68","3","8.925, 394","11.920, 306","56194","2020-12 [22.6]","2029-11 [62]","2029-11 [16]","bK19V00V"
"(2010 WD1)","8","26.5","8.7 - 39","8","9.119, 402","11.920, 194","55597","? 2042-11 [22.7] ?","none","none","bK10W01D"
"(2019 GL1)","10","25.7","13 - 56","5","8.800, 450","11.903, 146","55050","2026-08 [23.7]","none","none","bK19G01L"
"(2017 SX17)","5","28.3","3.8 - 17","5","7.497, 370","11.973, 178","54977","none","none","none","bK17S17X"
"(2020 BF10)","7","27.2","6.3 - 28","6","8.238, 394","11.852, 338","54923","? 2022-08 [23.5] ?","none","none","bK20B10F"
"(2019 LO)","1","27.6","5.3 - 23","7","7.736, 378","11.947, 282","54824","? 2038-05 [22.0] ?","none","none","bK19L00O"
"(2016 JH18)","8","26.1","10 - 47","7","8.811, 378","11.979, 210","54767","? 2027-03 [23.1] ?","none","none","bK16J18H"
"(2017 GO4)","8","25.0","17 - 78","3","8.071, 378","11.950, 194","54765","2031-12 [23.0]","2033-04 [150]","none","bK17G04O"
"(2014 HA198)","3","28.7","3.2 - 14","8","8.005, 378","11.926, 74","54390","? 2025-04 [22.1] ?","none","none","bK14HJ8A"
"(2010 DJ)","7","26.5","8.7 - 39","8","8.410, 450","11.850, 250","54359","none","none","none","bK10D00J"
"(2019 YF4)","12","27.0","6.9 - 31","4","6.914, 402","10.655, 34","54326","2020-03 [23.1]","none","none","bK19Y04F"
"(2007 HB15)","9","27.7","5.0 - 22","6","7.983, 322","11.980, 178","54321","? 2021-08 [22.0] ?","none","none","bK07H15B"
"(2019 EK2)","2","27.5","5.5 - 25","8","8.066, 386","11.987, 274","54177","? 2045-10 [23.9] ?","none","none","bK19E02K"
"(2016 CO29)","10","25.0","17 - 78","6","8.572, 370","11.961, 266","53435","2028-02 [23.5]","none","none","bK16C29O"
"(2007 AA2)","9","24.6","21 - 94","7","7.483, 370","11.937, 258","53146","? 2026-05 [20.6] ?","none","none","bK07A02A"
"(2015 XA379)","46","25.3","15 - 68","4","7.745, 410","11.782, 74","53137","2035-02 [21.3]","none","none","bK15Xb9A"
"(2013 KT1)","9","26.6","8.3 - 37","5","7.454, 362","11.855, 154","53118","none","none","none","bK13K01T"
"(2018 JK2)","6","25.8","12 - 54","6","7.088, 362","11.937, 146","53078","? 2030-04 [23.2] ?","none","none","bK18J02K"
"(2015 XC352)","23","25.7","13 - 56","1","6.876, 410","11.952, 306","53069","2020-07 [23.6]","none","none","bK15XZ2C"
"(2010 FV9)","19","25.4","14 - 65","2","8.005, 386","11.918, 226","53031","2026-04 [23.3]","none","none","bK10F09V"
"(2019 UJ3)","3","26.1","10 - 47","7","8.504, 450","11.949, 322","52845","? 2023-05 [21.8] ?","none","none","bK19U03J"
"(2018 DT)","13","27.1","6.6 - 30","5","8.458, 362","11.928, 210","52800","none","none","none","bK18D00T"
"(2016 WR)","3","26.5","8.7 - 39","7","8.741, 370","11.994, 274","52758","? 2029-12 [23.5] ?","none","none","bK16W00R"
"(2001 TD)","11","25.1","17 - 74","4","7.944, 362","11.976, 282","52606","2028-10 [22.8]","2042-10 [8300]","2042-10 [160]","bK01T00D"
"(2018 DB1)","3","26.0","11 - 49","6","7.206, 362","11.934, 146","52578","? 2028-08 [22.5] ?","none","none","bK18D01B"
"(2017 FT64)","3","24.4","23 - 103","7","8.495, 370","11.955, 122","52569","? 2021-06 [23.6] ?","none","none","bK17F64T"
"(2020 AU)","10","25.7","13 - 56","5","8.783, 450","11.976, 202","52411","2020-03 [22.6]","none","none","bK20A00U"
"(2014 BP43)","8","26.5","8.7 - 39","7","7.365, 370","11.946, 234","52266","? 2021-07 [21.8] ?","none","none","bK14B43P"
"(2006 GU2)","6","27.8","4.8 - 21","7","8.769, 418","12.000, 210","52157","none","none","none","bK06G02U"
"(2010 UK)","10","26.8","7.6 - 34","6","8.857, 338","11.817, 146","51770","? 2031-12 [23.6] ?","none","none","bK10U00K"
"(2017 QB2)","4","24.4","23 - 103","4","8.337, 370","11.843, 186","51696","2040-07 [22.2]","none","none","bK17Q02B"
"(2012 XF55)","22","22.8","48 - 214","0","8.630, 418","11.822, 82","51637","2022-09 [22.5]","2026-01 [36]","none","bK12X55F"
"(2015 CR)","5","23.3","38 - 170","7","9.109, 394","11.937, 322","51589","? 2025-11 [23.7] ?","none","none","bK15C00R"
"(2010 FT)","11","25.7","13 - 56","7","7.946, 362","11.989, 210","51571","? 2027-08 [22.3] ?","none","none","bK10F00T"
