"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2019 GM1)","2","27.0","6.9 - 31","6","4.513, 362","11.862, 66","5947708","2020-03 [22.9]","2020-04 [320]","2040-03 [16]","bK19G01M"
"(2000 SG344)","16","24.7","20 - 89","3","3.549, 370","11.402, 34","3302683","2028-04 [19.1]","2028-05 [3.e3]","2028-05 [58]","bK00SY4G"
"469219 Kamo`oalewa (2016 HO3)","25","24.3","24 - 107","0","6.108, 362","11.969, 154","3162138","2020-03 [22.2]","none","none","a0469219"
"(2006 RH120)","50","29.5","2.2 - 10","1","3.969, 450","11.410, 26","2498249","2028-06 [23.7]","none","none","bK06RC0H"
"(2020 CD3)","5","31.7","0.80 - 3.6","4","3.571, 378","9.358, 18","2240076","2020-03 [23.5]","2020-03 [450]","none","bK20C03D"
"(2018 PN22)","4","27.5","5.5 - 25","3","4.198, 370","11.696, 50","2082848","none","none","none","bK18P22N"
"(2008 JL24)","13","29.6","2.1 - 9.4","4","4.096, 354","11.847, 50","1986606","? 2043-11 [23.4] ?","none","none","bK08J24L"
"(2008 UA202)","7","29.4","2.3 - 10","6","3.988, 346","11.429, 26","1864900","? 2029-10 [22.7] ?","none","none","bK08UK2A"
"(2012 TF79)","14","27.4","5.8 - 26","5","4.374, 386","11.695, 42","1849207","? 2026-11 [20.9] ?","none","none","bK12T79F"
"(2011 UD21)","14","28.5","3.5 - 16","4","4.035, 362","10.937, 34","1798023","2042-12 [23.1]","none","none","bK11U21D"
"(2010 JW34)","9","28.1","4.2 - 19","4","4.030, 362","11.289, 26","1720328","? 2045-04 [18.7] ?","none","none","bK10J34W"
"(2001 FR85)","12","24.8","19 - 85","3","4.274, 370","11.536, 58","1681590","2038-10 [21.1]","2039-03 [98]","none","bK01F85R"
"(2006 BZ147)","12","25.4","14 - 65","3","4.091, 362","11.688, 66","1674273","2034-12 [19.5]","2035-02 [1500]","2035-02 [40]","bK06BE7Z"
"(2010 VQ98)","14","28.2","4.0 - 18","4","3.984, 378","11.501, 42","1669478","2040-03 [22.5]","none","none","bK10V98Q"
"(2001 GP2)","16","26.9","7.3 - 32","6","4.205, 386","11.118, 34","1620205","? 2020-10 [20.4] ?","none","none","bK01G02P"
"(2010 UE51)","26","28.3","3.8 - 17","2","4.421, 434","11.423, 34","1608005","2023-08 [22.2]","none","none","bK10U51E"
"(2010 UJ)","7","26.2","10 - 45","9","4.387, 450","11.933, 50","1528141","? 2021-08 [22.6] ?","none","none","bK10U00J"
"(2019 DJ1)","12","26.8","7.6 - 34","1","4.286, 370","11.959, 74","1527579","2020-12 [23.5]","none","none","bK19D01J"
"(2019 PO1)","13","27.8","4.8 - 21","5","3.874, 354","11.784, 34","1514964","? 2038-01 [20.8] ?","none","none","bK19P01O"
"(2018 PM28)","4","25.7","13 - 56","4","4.744, 386","11.670, 50","1412392","2043-06 [21.4]","none","none","bK18P28M"
"(2014 WU200)","14","29.1","2.6 - 12","3","4.352, 378","11.385, 50","1389076","2040-06 [23.5]","none","none","bK14WK0U"
"(2009 BD)","44","28.1","4.2 - 19","1","4.728, 362","11.923, 74","1333680","2022-11 [23.9]","none","none","bK09B00D"
"(2015 VC2)","36","27.4","5.8 - 26","1","4.544, 354","11.686, 42","1318286","2029-06 [23.5]","none","none","bK15V02C"
"(1991 VG)","11","28.3","3.8 - 17","0","4.425, 386","11.843, 74","1307784","2039-05 [22.5]","none","none","bJ91V00G"
"(2008 ST)","13","27.1","6.6 - 30","5","5.007, 370","11.961, 50","1265318","? 2025-06 [22.9] ?","none","none","bK08S00T"
"(2017 SV19)","7","25.0","17 - 78","5","4.614, 442","11.796, 42","1256176","2028-09 [24.0]","2029-02 [420]","none","bK17S19V"
"(2007 UN12)","20","28.7","3.2 - 14","5","4.506, 330","11.734, 66","1226884","none","none","none","bK07U12N"
"(2015 VO142)","14","28.9","2.9 - 13","4","4.493, 322","11.649, 26","1207325","2026-04 [23.8]","none","none","bK15VE2O"
"(2014 DJ80)","11","26.3","10 - 43","5","5.310, 386","11.992, 50","1204931","? 2042-01 [20.9] ?","none","none","bK14D80J"
"(2012 EP10)","9","29.1","2.6 - 12","6","4.699, 394","11.377, 50","1195861","? 2026-04 [24.0] ?","none","none","bK12E10P"
"(2007 VU6)","7","26.5","8.7 - 39","6","4.860, 330","11.221, 50","1180146","? 2034-10 [20.1] ?","none","none","bK07V06U"
"(2015 KE)","19","26.2","10 - 45","3","4.452, 370","11.869, 98","1168486","2040-05 [21.3]","none","none","bK15K00E"
"(2014 WX202)","9","29.6","2.1 - 9.4","2","4.249, 370","11.924, 98","1139174","none","none","none","bK14WK2X"
"(2014 QN266)","23","26.3","10 - 43","3","4.827, 314","11.436, 34","1135067","2027-01 [23.2]","2041-03 [1400]","2041-03 [27]","bK14QQ6N"
"(2014 BA3)","17","28.2","4.0 - 18","5","5.504, 362","11.965, 50","1117943","none","none","none","bK14B03A"
"(2009 BW2)","16","25.1","17 - 74","2","5.154, 450","11.930, 90","1105267","2040-12 [23.3]","2044-07 [57]","none","bK09B02W"
"(2015 PS228)","12","28.8","3.0 - 14","5","5.043, 426","11.801, 42","1087440","? 2040-02 [23.6] ?","none","none","bK15PM8S"
"(2013 GH66)","12","28.0","4.4 - 20","3","4.825, 362","11.543, 42","1086807","2040-02 [22.3]","none","none","bK13G66H"
"(2010 JR34)","8","27.7","5.0 - 22","5","4.978, 354","11.662, 90","1081513","? 2025-02 [23.4] ?","none","none","bK10J34R"
"(2009 YR)","9","28.0","4.4 - 20","6","4.643, 442","11.682, 50","1077646","? 2030-09 [21.9] ?","none","none","bK09Y00R"
"(2016 YR)","7","27.2","6.3 - 28","6","4.394, 362","11.812, 66","1074909","? 2042-10 [22.7] ?","none","none","bK16Y00R"
"(2017 TP4)","7","26.3","10 - 43","5","5.194, 418","11.841, 66","1071238","2027-01 [23.0]","none","none","bK17T04P"
"(2017 HU49)","13","26.5","8.7 - 39","4","4.531, 370","11.899, 114","1052528","none","none","none","bK17H49U"
"(2019 LB1)","1","27.0","6.9 - 31","5","5.355, 370","11.936, 82","1044982","2020-06 [23.4]","none","none","bK19L01B"
"(2007 CS5)","9","24.6","21 - 94","6","4.823, 370","11.811, 106","1043655","2041-01 [22.3]","2044-06 [42]","none","bK07C05S"
"(2020 BW13)","11","27.4","5.9 - 26","6","4.503, 442","11.546, 42","1018116","2020-03 [22.5]","2020-03 [150]","none","bK20B13W"
"(2011 BQ50)","9","28.0","4.4 - 20","6","4.807, 450","11.782, 66","1013801","? 2035-11 [22.0] ?","none","none","bK11B50Q"
"(2004 QA22)","12","27.9","4.6 - 20","5","4.613, 450","11.787, 66","1010352","2030-12 [23.9]","none","none","bK04Q22A"
"(2014 HJ197)","4","30.3","1.5 - 6.8","8","4.328, 354","11.741, 114","1003220","none","none","none","bK14HJ7J"
"(2009 HC)","32","24.7","20 - 89","5","4.439, 362","11.795, 66","1003168","2025-08 [22.9]","2025-10 [1200]","2025-10 [39]","bK09H00C"
"(2017 UM52)","1","29.2","2.5 - 11","9","4.851, 362","11.959, 58","989147","none","none","none","bK17U52M"
"(2017 UQ6)","4","27.2","6.3 - 28","6","4.595, 450","11.864, 66","987085","2039-09 [23.8]","none","none","bK17U06Q"
"(2015 JD3)","11","25.5","14 - 62","4","4.840, 378","11.977, 74","983854","2027-05 [21.1]","none","none","bK15J03D"
"(2014 WA366)","15","26.9","7.3 - 32","4","4.571, 386","11.774, 58","979366","2034-04 [22.9]","none","none","bK14Wa6A"
"(2014 LJ)","9","28.5","3.5 - 16","6","5.090, 306","11.584, 50","966208","? 2031-12 [23.4] ?","none","none","bK14L00J"
"(2012 AQ)","5","30.7","1.3 - 5.6","5","5.232, 362","11.993, 74","963414","none","none","none","bK12A00Q"
"(2016 TB18)","27","24.8","19 - 85","3","5.392, 362","11.797, 130","957616","2026-04 [21.6]","none","none","bK16T18B"
"(2013 WA44)","18","23.7","32 - 142","3","5.298, 442","11.967, 58","949462","2020-12 [19.9]","2044-04 [10]","none","bK13W44A"
"(2019 KJ2)","2","27.1","6.6 - 30","6","4.755, 370","11.462, 42","947260","? 2044-04 [20.5] ?","none","none","bK19K02J"
"(2012 HK31)","15","25.4","14 - 65","7","5.949, 418","11.859, 66","944165","? 2022-03 [22.0] ?","none","none","bK12H31K"
"(2017 BG30)","6","29.4","2.3 - 10","6","4.644, 346","11.654, 66","935931","none","none","none","bK17B30G"
"(2011 MD)","44","28.0","4.4 - 20","2","5.126, 378","11.782, 114","935659","2036-11 [24.0]","none","none","bK11M00D"
"(2018 PU23)","2","28.1","4.2 - 19","6","4.587, 426","11.971, 98","927084","none","none","none","bK18P23U"
"(2010 TE55)","13","28.0","4.4 - 20","4","5.043, 450","11.712, 66","922014","2022-07 [23.2]","none","none","bK10T55E"
"(2014 YD)","27","24.3","24 - 107","3","5.268, 362","11.982, 130","918537","2024-10 [22.0]","none","none","bK14Y00D"
"(2012 MD7)","4","24.1","26 - 118","7","5.171, 362","11.874, 74","917798","? 2038-02 [23.6] ?","none","none","bK12M07D"
"(2012 WR10)","13","28.7","3.2 - 14","6","4.883, 434","11.780, 50","915390","? 2038-12 [23.9] ?","none","none","bK12W10R"
"(2018 TG6)","28","27.1","6.6 - 30","2","5.031, 410","11.958, 138","907564","2030-04 [23.1]","none","none","bK18T06G"
"(2011 BL45)","12","27.1","6.6 - 30","6","4.464, 362","11.795, 82","887514","? 2029-10 [23.2] ?","none","none","bK11B45L"
"(2008 EA9)","19","27.7","5.0 - 22","6","4.610, 410","11.783, 74","876815","? 2034-06 [23.4] ?","none","none","bK08E09A"
"(2020 BL11)","4","27.9","4.6 - 21","3","4.332, 370","11.955, 34","862964","none","none","none","bK20B11L"
"(2012 BB14)","10","25.0","17 - 78","4","5.065, 362","11.915, 106","853823","2022-12 [21.7]","none","none","bK12B14B"
"(2019 KF2)","8","25.1","17 - 74","6","5.165, 338","11.565, 50","840813","2027-12 [23.5]","none","none","bK19K02F"
"(2012 XM55)","18","27.9","4.6 - 20","6","5.177, 298","11.817, 34","837956","? 2044-03 [21.2] ?","none","none","bK12X55M"
"(2017 FT102)","10","29.5","2.2 - 10","3","4.460, 362","11.943, 138","837318","none","none","none","bK17FA2T"
"(2009 HE60)","7","25.6","13 - 59","7","6.940, 442","11.995, 218","835976","? 2021-06 [23.4] ?","none","none","bK09H60E"
"(2017 BN93)","3","25.4","14 - 65","7","4.754, 202","11.423, 34","833931","? 2032-03 [21.5] ?","none","none","bK17B93N"
"(2012 XB112)","20","29.9","1.8 - 8.1","3","4.352, 354","11.857, 66","821046","2039-06 [22.5]","none","none","bK12XB2B"
"(2019 TF2)","12","26.4","9.1 - 41","5","4.613, 370","11.976, 50","809423","2020-03 [22.1]","none","none","bK19T02F"
"(2009 UD)","13","27.2","6.3 - 28","5","4.672, 362","11.992, 74","803109","2027-10 [23.4]","none","none","bK09U00D"
"(2018 GE)","13","27.5","5.5 - 25","5","5.007, 450","11.376, 26","795533","? 2041-04 [20.8] ?","none","none","bK18G00E"
"(2018 WV1)","16","30.3","1.5 - 6.8","2","4.510, 370","11.973, 130","794959","none","none","none","bK18W01V"
"(2019 WS3)","10","26.3","10 - 43","5","5.148, 442","11.817, 50","792870","? 2031-01 [22.9] ?","none","none","bK19W03S"
"(2011 BP40)","7","25.7","13 - 56","8","5.005, 338","11.949, 34","786425","? 2023-05 [23.8] ?","none","none","bK11B40P"
"(2007 YF)","9","24.8","19 - 85","6","5.409, 450","11.762, 58","783201","2021-12 [23.6]","none","none","bK07Y00F"
"(2019 GE1)","2","27.0","6.9 - 31","6","6.760, 410","11.803, 162","780075","2020-03 [23.2]","none","none","bK19G01E"
"(2014 JR24)","7","29.3","2.4 - 11","5","5.385, 442","11.984, 66","779228","none","none","none","bK14J24R"
"(2010 JK1)","24","24.4","23 - 103","2","4.839, 410","11.643, 106","776045","2033-03 [22.9]","none","none","bK10J01K"
"(2019 UB4)","6","29.2","2.5 - 11","5","5.002, 394","11.651, 58","771429","none","none","none","bK19U04B"
"(2010 XU10)","8","27.4","5.8 - 26","6","5.523, 362","11.837, 42","769368","? 2044-11 [21.2] ?","none","none","bK10X10U"
"(2015 TC25)","17","29.3","2.4 - 11","2","4.659, 362","11.891, 98","763114","none","none","none","bK15T25C"
"(2019 QS8)","3","25.3","15 - 69","9","5.041, 434","11.920, 138","759538","? 2029-02 [21.0] ?","none","none","bK19Q08S"
"(1999 CG9)","12","25.2","16 - 71","6","5.158, 362","11.736, 66","758842","2033-08 [22.7]","2034-02 [60]","none","bJ99C09G"
"(2016 UE)","10","25.1","17 - 74","3","5.257, 378","11.537, 90","757954","2029-07 [22.1]","none","none","bK16U00E"
"(2016 ES85)","7","29.7","2.0 - 8.9","5","5.087, 370","11.815, 66","755553","none","none","none","bK16E85S"
"(2014 WE6)","5","30.4","1.4 - 6.5","4","4.984, 394","11.992, 82","750345","none","none","none","bK14W06E"
"(2013 CY)","18","28.3","3.8 - 17","5","5.101, 402","11.936, 26","748751","? 2040-01 [22.0] ?","none","none","bK13C00Y"
"(2008 HU4)","25","28.3","3.8 - 17","0","5.306, 370","11.989, 122","745242","none","none","none","bK08H04U"
"(2014 FW32)","6","27.0","6.9 - 31","7","5.539, 306","11.921, 74","739155","2041-05 [23.9]","none","none","bK14F32W"
"(2016 HF19)","26","26.5","8.7 - 39","6","5.426, 434","11.953, 50","733388","2045-06 [21.3]","2045-06 [140]","none","bK16H19F"
"(2016 RD34)","25","27.6","5.3 - 23","3","4.610, 370","11.947, 98","728481","2031-12 [23.2]","none","none","bK16R34D"
"(2019 XV)","5","29.2","2.5 - 11","6","5.260, 450","11.931, 82","724842","none","none","none","bK19X00V"
"(2018 FM2)","1","26.6","8.3 - 37","5","5.289, 346","11.875, 66","717080","? 2038-12 [21.9] ?","none","none","bK18F02M"
"(2019 AC3)","12","27.3","6.0 - 27","3","4.840, 370","11.827, 66","712964","2020-06 [22.1]","2020-07 [120]","none","bK19A03C"
"(2012 LA)","27","27.6","5.3 - 23","2","4.522, 370","11.801, 114","711749","2029-12 [23.7]","none","none","bK12L00A"
"(2000 AG6)","11","25.3","15 - 68","5","6.087, 378","11.864, 146","709027","2043-09 [23.0]","none","none","bK00A06G"
"(2014 HN2)","13","26.5","8.7 - 39","6","5.298, 450","11.937, 50","705436","? 2039-04 [21.9] ?","none","none","bK14H02N"
"(2015 KK57)","15","27.5","5.5 - 25","3","5.700, 442","11.958, 114","700670","2023-10 [23.6]","none","none","bK15K57K"
"(2018 ER1)","12","25.6","13 - 59","5","5.052, 370","11.955, 98","678683","2020-12 [23.5]","none","none","bK18E01R"
"(2019 GF1)","5","27.4","5.8 - 26","4","4.190, 410","11.931, 74","674174","2020-03 [23.6]","none","none","bK19G01F"
"(2020 DG3)","3","27.5","5.5 - 25","7","5.047, 386","11.633, 42","673640","2020-03 [21.9]","2020-03 [20]","none","bK20D03G"
"(2007 UY1)","32","22.9","46 - 205","3","5.580, 362","11.897, 122","665236","2020-09 [18.6]","2020-10 [32]","2022-02 [18]","bK07U01Y"
"(2016 TB57)","34","26.1","10 - 47","3","5.727, 322","11.992, 114","660684","2024-05 [23.4]","none","none","bK16T57B"
"(2019 FV2)","19","24.9","18 - 81","3","4.777, 370","11.765, 98","657780","2032-09 [23.5]","none","none","bK19F02V"
"(2016 FP13)","4","26.2","10 - 45","7","5.629, 442","11.877, 106","657585","? 2031-02 [21.9] ?","none","none","bK16F13P"
"(2001 QJ142)","22","23.7","32 - 142","0","5.442, 362","12.000, 66","650657","2023-11 [19.6]","2024-04 [74]","none","bK01QE2J"
"(2018 GR4)","13","27.1","6.6 - 30","6","5.270, 346","11.918, 82","648857","2037-03 [23.4]","none","none","bK18G04R"
"(2012 BK14)","4","27.4","5.8 - 26","9","5.595, 386","11.996, 122","646107","? 2041-01 [23.3] ?","none","none","bK12B14K"
"(2019 UR4)","5","26.9","7.3 - 32","7","5.962, 450","11.841, 122","643165","? 2032-09 [23.4] ?","none","none","bK19U04R"
"(2017 KP27)","6","25.8","12 - 54","2","5.054, 370","11.873, 146","638830","2037-05 [23.0]","none","none","bK17K27P"
"(2013 TG6)","11","26.6","8.3 - 37","6","5.535, 354","11.821, 58","634089","? 2023-10 [18.4] ?","none","none","bK13T06G"
"(2015 BM510)","13","25.1","17 - 74","5","5.910, 450","11.934, 66","633365","2025-10 [22.6]","2037-11 [50]","none","bK15Bp0M"
"(1999 VX25)","14","26.7","8.0 - 36","7","5.760, 402","11.666, 50","632129","? 2028-09 [23.3] ?","none","none","bJ99V25X"
"(2006 DQ14)","8","27.1","6.6 - 30","6","4.513, 362","11.968, 58","630167","? 2030-08 [22.6] ?","none","none","bK06D14Q"
"(2015 VU64)","4","30.6","1.3 - 5.9","5","5.857, 378","11.942, 82","617049","none","none","none","bK15V64U"
"(2018 PR7)","6","28.5","3.5 - 16","4","4.995, 370","11.842, 74","614089","2043-02 [23.6]","none","none","bK18P07R"
"(2010 VL65)","6","28.4","3.6 - 16","7","5.212, 362","11.977, 114","613922","? 2021-11 [22.6] ?","none","none","bK10V65L"
"(2014 YP44)","3","26.1","10 - 47","8","5.875, 338","11.977, 74","613570","? 2031-10 [19.5] ?","none","none","bK14Y44P"
"(2017 KJ32)","2","28.9","2.9 - 13","6","4.899, 450","11.533, 26","610510","? 2042-05 [19.7] ?","none","none","bK17K32J"
"(2017 YD1)","2","30.0","1.7 - 7.8","6","5.631, 362","11.792, 66","610498","none","none","none","bK17Y01D"
"(2018 PK21)","26","25.9","11 - 51","3","4.292, 362","11.750, 58","606093","2020-09 [21.3]","2020-12 [200]","none","bK18P21K"
"(2010 HA)","16","23.9","29 - 129","3","6.319, 370","11.919, 114","603143","2025-04 [23.8]","2027-08 [100]","none","bK10H00A"
"(2011 AU4)","8","25.9","11 - 51","7","5.193, 354","11.913, 58","596552","? 2031-05 [23.1] ?","none","none","bK11A04U"
"(2019 UO1)","5","25.0","17 - 78","6","5.642, 394","11.849, 90","595512","? 2027-01 [20.2] ?","none","none","bK19U01O"
"(2018 BC)","6","29.4","2.3 - 10","4","4.797, 362","11.797, 130","594242","none","none","none","bK18B00C"
"(2019 KM2)","2","25.5","14 - 62","7","5.267, 370","11.998, 106","593803","? 2038-06 [22.1] ?","none","none","bK19K02M"
"(2000 SZ162)","11","27.3","6.0 - 27","7","5.314, 450","11.923, 82","593193","? 2026-10 [23.9] ?","none","none","bK00SG2Z"
"(2001 CQ36)","32","22.5","55 - 246","0","5.824, 354","11.986, 162","591954","2021-01 [20.5]","2021-02 [18]","2031-02 [150]","bK01C36Q"
"(2015 XN261)","18","26.2","10 - 45","3","4.971, 370","11.941, 106","589662","2038-07 [22.6]","none","none","bK15XQ1N"
"(2017 HK1)","25","25.1","17 - 74","5","6.155, 418","11.980, 58","588846","2030-02 [21.4]","2030-05 [100]","none","bK17H01K"
"(2018 LQ2)","68","24.9","18 - 81","3","5.836, 370","11.956, 122","588502","2026-04 [21.4]","none","none","bK18L02Q"
"(2010 UC)","10","27.4","5.8 - 26","5","5.585, 370","11.782, 66","587585","none","none","none","bK10U00C"
"(2019 NX5)","2","29.1","2.6 - 12","6","5.651, 450","11.754, 146","585182","none","none","none","bK19N05X"
"(2008 GM2)","12","28.3","3.8 - 17","5","4.723, 354","11.986, 50","584283","? 2035-04 [18.6] ?","none","none","bK08G02M"
"(2012 HN1)","6","27.0","6.9 - 31","6","5.426, 370","11.866, 114","582032","? 2039-03 [23.1] ?","none","none","bK12H01N"
"(2018 YU2)","4","26.5","8.7 - 39","6","5.317, 346","11.682, 90","581531","2028-01 [23.7]","none","none","bK18Y02U"
"(2006 UQ216)","7","27.3","6.0 - 27","7","5.557, 282","11.773, 58","577482","? 2029-03 [22.5] ?","none","none","bK06UL6Q"
"(2006 FH36)","17","22.9","46 - 205","3","5.997, 362","11.946, 114","574701","2020-03 [17.6]","2021-08 [17]","none","bK06F36H"
"(2017 FB3)","9","25.9","11 - 51","4","5.294, 370","11.992, 170","573563","2030-07 [20.8]","2030-09 [230]","none","bK17F03B"
"(2010 RF12)","20","28.4","3.6 - 16","4","5.921, 450","11.974, 106","572416","none","none","none","bK10R12F"
"(2016 NP56)","4","26.2","10 - 44","9","4.776, 370","11.987, 122","570660","none","none","none","bK16N56P"
"(2000 LG6)","11","29.0","2.8 - 12","6","5.821, 402","11.704, 42","569261","none","none","none","bK00L06G"
"(2012 PB20)","16","24.9","18 - 81","4","5.098, 362","11.768, 50","567630","2024-11 [21.6]","2025-02 [6600]","2025-02 [690]","bK12P20B"
"(2005 TG50)","18","24.8","19 - 85","0","5.916, 346","11.995, 58","559269","2021-09 [22.3]","2021-11 [11]","none","bK05T50G"
"(2020 BF1)","2","26.1","10 - 46","5","4.986, 362","11.669, 106","558927","2035-09 [23.4]","none","none","bK20B01F"
"(2017 SL16)","11","25.8","12 - 54","0","7.367, 362","11.937, 258","556851","2020-09 [19.1]","2020-09 [640]","2020-09 [15]","bK17S16L"
"(2012 UL171)","4","27.0","6.9 - 31","8","4.946, 354","11.790, 66","554757","? 2025-03 [22.8] ?","none","none","bK12UH1L"
"(2012 SX49)","4","26.2","10 - 45","7","6.140, 362","11.605, 74","552447","? 2024-08 [20.9] ?","none","none","bK12S49X"
"(2020 DT4)","1","25.5","14 - 63","7","6.075, 362","11.810, 106","551309","2020-03 [20.8]","none","none","bK20D04T"
"(2016 CH30)","5","28.0","4.4 - 20","5","6.150, 314","11.803, 154","550746","2025-01 [22.8]","none","none","bK16C30H"
"478784 (2012 UV136)","41","25.5","14 - 62","0","4.670, 394","11.987, 66","548500","2020-05 [19.9]","2020-05 [570]","2020-05 [22]","a0478784"
"(2014 KF39)","16","25.3","15 - 68","3","4.888, 378","11.793, 74","541805","2031-02 [22.1]","2031-11 [17]","none","bK14K39F"
"(2017 FW90)","15","28.1","4.2 - 19","4","4.792, 370","11.880, 106","541741","none","none","none","bK17F90W"
"(2015 DU)","23","26.6","8.3 - 37","3","6.069, 362","11.907, 138","541041","2022-07 [23.9]","none","none","bK15D00U"
"(2019 VL5)","2","25.9","11 - 51","7","7.509, 434","11.964, 258","530109","2020-10 [23.8]","none","none","bK19V05L"
"(2015 XX169)","9","27.4","5.8 - 26","0","8.122, 362","11.974, 250","527007","none","none","none","bK15XG9X"
"(2010 UY7)","10","28.5","3.5 - 16","6","5.495, 450","11.724, 74","524093","? 2027-11 [22.3] ?","none","none","bK10U07Y"
"(2011 UX275)","4","25.8","12 - 54","7","5.580, 378","11.953, 82","518829","? 2030-12 [23.2] ?","none","none","bK11UR5X"
"(2008 EL68)","17","27.7","5.0 - 22","9","4.375, 450","11.928, 106","513151","none","none","none","bK08E68L"
"(2016 DJ)","17","25.6","13 - 59","4","5.671, 378","11.863, 114","511574","2042-06 [22.5]","2042-08 [50]","none","bK16D00J"
"(2004 VJ1)","24","24.1","26 - 118","1","6.033, 450","11.922, 122","510158","2026-08 [19.6]","none","none","bK04V01J"
"(2003 SM84)","27","22.7","50 - 224","1","6.352, 370","11.837, 74","509727","2021-09 [23.8]","2040-07 [96]","none","bK03S84M"
"(2011 AA37)","28","22.8","48 - 214","0","5.851, 386","11.920, 122","507294","2026-01 [19.2]","2026-08 [89]","none","bK11A37A"
"(2012 VC26)","5","28.7","3.2 - 14","5","5.516, 362","11.945, 202","505225","none","none","none","bK12V26C"
"(2019 TK5)","5","27.4","5.8 - 26","5","6.110, 402","11.786, 146","502918","2023-05 [23.3]","none","none","bK19T05K"
"(2016 RN20)","2","28.2","4.0 - 18","6","5.671, 362","11.946, 66","502103","? 2045-08 [23.6] ?","none","none","bK16R20N"
"(2017 RL2)","9","26.1","10 - 47","5","5.948, 410","11.926, 114","493724","2024-08 [23.8]","none","none","bK17R02L"
"(2019 HM)","4","25.9","11 - 51","1","4.410, 370","11.984, 42","493343","2020-03 [20.9]","2020-04 [930]","2020-04 [30]","bK19H00M"
"(2009 DB43)","7","26.5","8.7 - 39","7","5.752, 338","11.972, 74","491543","? 2030-08 [22.8] ?","none","none","bK09D43B"
"(2005 QP11)","13","26.4","9.1 - 41","4","5.804, 386","11.978, 122","491109","2029-04 [23.7]","none","none","bK05Q11P"
"(2007 XB23)","7","27.1","6.6 - 30","7","4.643, 186","11.151, 50","490524","? 2024-12 [17.1] ?","none","none","bK07X23B"
"(2018 SD2)","2","28.6","3.3 - 15","6","5.917, 362","11.825, 74","489542","none","none","none","bK18S02D"
"(2015 XD169)","15","26.9","7.3 - 32","6","5.751, 362","11.930, 74","488120","2041-12 [23.7]","none","none","bK15XG9D"
"(2009 CV)","30","24.3","24 - 107","0","5.949, 450","11.936, 50","487540","2022-09 [22.3]","2029-02 [31]","2029-03 [45]","bK09C00V"
"(2006 HE2)","7","26.5","8.7 - 39","6","5.199, 346","11.929, 114","485992","? 2029-10 [19.3] ?","none","none","bK06H02E"
"(2015 YO10)","5","26.6","8.3 - 37","7","6.096, 394","11.971, 66","481658","? 2034-08 [23.2] ?","none","none","bK15Y10O"
"(2019 ED)","9","26.9","7.3 - 32","6","5.609, 442","11.438, 58","481145","? 2035-02 [22.6] ?","none","none","bK19E00D"
"(2008 DL4)","10","26.9","7.3 - 32","6","6.375, 370","11.648, 74","479823","2034-03 [23.5]","none","none","bK08D04L"
"(2007 RC20)","6","26.6","8.3 - 37","9","5.627, 362","11.949, 122","479009","? 2021-07 [23.1] ?","none","none","bK07R20C"
"(2009 YF)","11","24.7","20 - 89","7","5.622, 450","11.773, 74","477611","2037-11 [23.7]","none","none","bK09Y00F"
"(2016 EU84)","10","29.0","2.8 - 12","5","6.265, 362","11.963, 114","475042","none","none","none","bK16E84U"
"(2020 AD1)","8","26.3","10 - 43","6","5.041, 354","11.936, 82","473390","2021-07 [20.1]","none","2021-07 [870]","bK20A01D"
"(1999 AO10)","16","23.9","29 - 129","6","5.871, 410","11.734, 50","472044","2032-12 [22.9]","2026-02 [720]","2026-02 [29]","bJ99A10O"
"(2016 CF137)","14","25.6","13 - 59","4","6.176, 370","11.955, 178","471888","2024-03 [22.9]","none","none","bK16CD7F"
"(2006 UB17)","11","26.3","10 - 43","7","6.443, 418","11.844, 82","471328","? 2023-04 [23.6] ?","none","none","bK06U17B"
"(2011 CL50)","8","27.6","5.3 - 23","7","5.760, 426","11.739, 34","469968","? 2020-12 [18.5] ?","none","none","bK11C50L"
"(2004 JN1)","21","23.6","33 - 148","0","6.235, 362","11.617, 106","469187","2020-08 [20.5]","2030-05 [49]","none","bK04J01N"
"(2015 BE92)","13","28.1","4.2 - 19","3","6.225, 402","11.890, 194","460003","2038-12 [23.7]","none","none","bK15B92E"
"(2018 XX3)","3","29.7","2.0 - 8.9","6","5.486, 362","11.974, 138","457868","none","none","none","bK18X03X"
"(2016 DF)","8","27.0","6.9 - 31","6","5.837, 370","11.914, 82","457064","2040-08 [23.8]","none","none","bK16D00F"
"(2016 TY55)","10","26.9","7.3 - 32","5","5.097, 370","11.910, 154","454046","? 2041-04 [23.3] ?","none","none","bK16T55Y"
"(2015 VO105)","29","24.1","26 - 118","2","5.642, 370","11.846, 98","453798","2030-02 [20.8]","2030-06 [15]","none","bK15VA5O"
"(2017 DV35)","7","27.2","6.3 - 28","6","5.810, 346","11.729, 82","452358","? 2033-12 [22.9] ?","none","none","bK17D35V"
"(2020 DM2)","3","27.2","6.3 - 28","7","4.917, 370","11.908, 90","451317","2020-03 [21.8]","2020-03 [440]","2020-03 [10]","bK20D02M"
